	price	start_lat	start_lon	end_lat	end_lon	end_state	distance	duration	rating	rider_waiting_time	vehicle_type_id
100	4,000	19.441357705399998	-99.1827886552	19.428611	-99.161667	drop off	2,440	1,703	9.0	469	077866c3fd1a75f51ca7f8eae166ae32
101	4,000	19.4227491	-99.1749373	19.4230911	-99.1702686	drop off	720	376	8.0	667	21620ea5749f2e0679a8c72c7fbafb9e
102	4,000	19.4218788	-99.1743966	19.438666	-99.1808212	drop off	3,510	1,475	10.0	1,013	21620ea5749f2e0679a8c72c7fbafb9e
103	14,172	19.3774813134	-99.254676886	19.4230911	-99.1702686	drop off	12,286	3,617	9.0	808	21620ea5749f2e0679a8c72c7fbafb9e
104	0	19.4227491	-99.1749373	19.406537533199998	-99.16970986870001	rider cancel	0	0	10.0		21620ea5749f2e0679a8c72c7fbafb9e
105	0	19.441357705399998	-99.1827886552	19.4199617779	-99.17195521299999	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
106	4,375	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	drop off	3,071	1,153	9.0	1,009	077866c3fd1a75f51ca7f8eae166ae32
107	4,169	19.441357705399998	-99.1827886552	19.4199617779	-99.17195521299999	drop off	4,645	1,463	9.0	1,637	077866c3fd1a75f51ca7f8eae166ae32
108	5,829	19.4008439	-99.1777087	19.438666	-99.1808212	drop off	5,648	580	9.0	437	077866c3fd1a75f51ca7f8eae166ae32
109	0	19.4162037	-99.1720924	19.4064378	-99.1752599	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
110	4,000	19.4382014	-99.1810772	19.4230911	-99.1702686	drop off	2,481	776	8.0	230	21620ea5749f2e0679a8c72c7fbafb9e
111	4,000	19.4230911	-99.1702686	19.409419600000003	-99.1742723	drop off	2,082	501	6.0	901	21620ea5749f2e0679a8c72c7fbafb9e
112	0	19.441434215999998	-99.18350312860001	19.434449	-99.1734136	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
113	0	19.441434215999998	-99.18350312860001	19.434449	-99.1734136	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
114	0	19.3767172191	-99.25455057069999	19.4230911	-99.1702686	rider cancel	0	0	9.0		21620ea5749f2e0679a8c72c7fbafb9e
115	0	19.4210937743	-99.1736389697	19.4063528563	-99.1752938926	rider cancel	0	0	8.0		077866c3fd1a75f51ca7f8eae166ae32
116	13,675	19.3765772954	-99.25416525450001	19.4228147	-99.1748655	drop off	11,962	3,030	9.0	89	077866c3fd1a75f51ca7f8eae166ae32
117	4,101	19.438494	-99.1810076	19.4227491	-99.1749373	drop off	4,269	1,453	8.0	277	077866c3fd1a75f51ca7f8eae166ae32
118	0	19.4410162527	-99.1835856065	19.4228148364	-99.17486540969999	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
119	4,449	19.4155624	-99.1600285	19.438666	-99.1808212	drop off	4,182	936	8.0	536	077866c3fd1a75f51ca7f8eae166ae32
120	0	19.406537533199998	-99.16970986870001	19.421496	-99.077809	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
121	4,000	19.4413799	-99.1839265	19.4231033325	-99.1748778149	drop off	691	619	10.0	384	21620ea5749f2e0679a8c72c7fbafb9e
