,_id,category,coords,founded_year,latitude,longitude,name,number_of_employees,tamaño_empresa,total_money_raised
216,5cd962d86517e94a863b9ffa,web,"{'type': 'Point', 'coordinates': [-122.357317, 47.617732]}",2006,47.617732,-122.357317,Imagekind,26,small,2600000.0
217,5cd962d86517e94a863b9cb8,games_video,"{'type': 'Point', 'coordinates': [-122.356756, 47.61968]}",2005,47.61968,-122.356756,BuddyTV,20,small,10600000.0
218,5cd962d86517e94a863b9c9b,web,"{'type': 'Point', 'coordinates': [-122.358484, 47.618599]}",2005,47.618599,-122.358484,Newsvine,8,startup,1250000.0
219,5cd962d86517e94a863ba296,web,"{'type': 'Point', 'coordinates': [-122.34229, 47.627368]}",2008,47.627368,-122.34229,findwell,7,startup,
220,5cd962d86517e94a863ba692,enterprise,"{'type': 'Point', 'coordinates': [-122.361239, 47.6209107]}",2007,47.6209107,-122.361239,ExtraHop Networks,50,small,19100000.0
221,5cd962d86517e94a863ba3d3,games_video,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}",2008,47.6254784,-122.3564234,Valu Valu,3,startup,
222,5cd962d86517e94a863ba155,hospitality,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}",2008,47.6254784,-122.3564234,Foodista,3,startup,1300000.0
223,5cd962d86517e94a863ba20e,hospitality,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}",2008,47.6254784,-122.3564234,Foodista,3,startup,1300000.0
224,5cd962d86517e94a863b9d85,web,"{'type': 'Point', 'coordinates': [-122.3419, 47.634444]}",2007,47.634444,-122.3419,LyfeSystems,9,startup,
225,5cd962d86517e94a863b9e0b,analytics,"{'type': 'Point', 'coordinates': [-122.324362, 47.635749]}",2008,47.635749,-122.324362,Notice Technologies,5,startup,
226,5cd962d86517e94a863ba3fd,consulting,"{'type': 'Point', 'coordinates': [-122.3342499, 47.5753035]}",2006,47.5753035,-122.3342499,Produxs,10,startup,
227,5cd962d86517e94a863ba6fd,mobile,"{'type': 'Point', 'coordinates': [-122.325878, 47.6447802]}",2009,47.6447802,-122.325878,AppStoreHQ,3,startup,
228,5cd962d86517e94a863ba7f3,search,"{'type': 'Point', 'coordinates': [-122.2901035, 47.5888393]}",2008,47.5888393,-122.2901035,SEM Wisdom,3,startup,
229,5cd962d86517e94a863b9d01,advertising,"{'type': 'Point', 'coordinates': [-122.346299, 47.649027]}",2006,47.649027,-122.346299,AdReady,33,small,17800000.0
230,5cd962d86517e94a863b9d9f,software,"{'type': 'Point', 'coordinates': [-97.746387, 30.27646]}",2007,30.27646,-97.746387,Compulsivo,2,startup,
231,5cd962d86517e94a863ba26e,web,"{'type': 'Point', 'coordinates': [-97.7443863, 30.2729209]}",2007,30.2729209,-97.7443863,Gowalla,22,small,10400000.0
232,5cd962d86517e94a863ba3ad,other,"{'type': 'Point', 'coordinates': [-97.740833, 30.269967]}",2009,30.269967,-97.740833,LaunchPad Coworking,6,startup,
233,5cd962d86517e94a863b9f49,messaging,"{'type': 'Point', 'coordinates': [-97.740395, 30.269004]}",2008,30.269004,-97.740395,OtherInbox,14,small,3800000.0
