Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2015.06.07,2015,Unprovoked,USA,N,2.5
2015.06.05,2015,Unprovoked,USA,N,4.0
2015.06.01,2015,Unprovoked,REUNION,N,2.5
2015.05.29.b,2015,Unprovoked,USA,N,3.0
2015.05.29.a,2015,Unprovoked,USA,N,3.0
2015.05.25,2015,Unprovoked,FRENCH POLYNESIA,N,3.0
2015.05.24,2015,Unprovoked,USA,N,3.5
2015.05.20,2015,Unprovoked,USA,N,2.5
2015.05.15,2015,Unprovoked,USA,N,3.0
2015.05.09,2015,Unprovoked,NEW CALEDONIA,Y,4.5
2015.05.07,2015,Unprovoked,USA,N,4.0
2015.05.03,2015,Unprovoked,AUSTRALIA,N,3.5
2015.05.02,2015,Unprovoked,SOUTH AFRICA,N,2.5
2015.04.29,2015,Unprovoked,USA,Y,3.0
2015.04.26,2015,Unprovoked,USA,N,2.5
2015.04.25,2015,Unprovoked,AUSTRALIA,N,2.5
2015.04.24.c,2015,Unprovoked,AUSTRALIA,N,2.5
2015.04.13,2015,Unprovoked,USA,N,3.5
2015.04.11,2015,Unprovoked,AUSTRALIA,N,4.5
2015.04.12,2015,Unprovoked,REUNION,Y,2.5
2015.03.31,2015,0,BRAZIL,N,2.25
2015.04.03,2015,Unprovoked,USA,N,2.8003003003003
2015.03.29,2015,0,ITALY,Y,4.25
2015.03.26,2015,Boat,SOUTH AFRICA,N,4.0
2015.03.21,2015,Unprovoked,EGYPT,Y,5.0
2015.03.18,2015,Unprovoked,USA,N,2.25
2015.03.16,2015,Unprovoked,FRENCH POLYNESIA,N,3.0
2015.03.11,2015,Boat,AUSTRALIA,N,4.5503003003003
2015.03.10,2015,Provoked,MEXICO,N,2.75
2015.03.07,2015,Unprovoked,FRENCH POLYNESIA,N,4.0
2015.02.15,2015,Boat,ATLANTIC OCEAN,N,8.0
2015.02.14,2015,Unprovoked,REUNION,Y,2.5
2015.02.09,2015,Unprovoked,AUSTRALIA,Y,2.5
2015.02.08,2015,Unprovoked,AUSTRALIA,N,2.25
2015.02.05,2015,Unprovoked,AUSTRALIA,N,4.5
