,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5186,1909,USA,Hawaii,Reported swept away by waves while gathering opihi,F,19,Y
5187,1909,TUNISIA,Sfax,Diving (Helmet) for sponges,M,,Y
5188,1909,SOUTH AFRICA,South Atlantic Ocean,Wreck of the 1308-ton Norwegian ship Auckland,F,,Y
5189,1909,,,Jumped overboard ,M,36,Y
5190,1909,ITALY,Sicily,"On December 28, 1908, an earthquake, followed by tsunamis, destroyed coastal towns in Silcily and southern Italy, killing more than 100,000 people",,,Y
5191,1909,AUSTRALIA,New South Wales,,,,N
5192,1908,SOUTH AFRICA,Western Cape Province,Swimming,M,16,Y
5193,1908,MEXICO,Quintana Roo,Swimming ashore from capsized boat,M,,Y
5194,1908,AUSTRALIA,Torres Strait,Fell from the jetty,M,,Y
5195,1908,USA,California,On fishing boat & trailing hand in the water,M,,N
5196,1908,SPAIN,Galicia,Fell overboard from P&O steamship Arabia,M,,Y
5197,1908,SPAIN,Canary Islands,,,,Y
5198,1908,CROATIA,Adriatic Sea,Boating,F,,Y
5199,1908,EGYPT,Gulf of Suez,The 168-ton Belmore foundered in heavy seas,M,,Y
5200,1908,USA,Georgia,The British steamer Caribbee foundered,M,,Y
5201,1908,PAPUA NEW GUINEA,New Britain,.,.,,Y
5202,1908,INDONESIA,Java,native boats sunk in storm,,F,Y
5203,1908,USA,Florida,,M,,Y
5204,1908,USA,Hawaii,Gathering fish stunned by dynamite,M,,Y
5205,1907,AUSTRALIA,New South Wales,Bathing,M,,Y
5206,1907,AUSTRALIA,Torres Strait,Bathing,M,,Y
5207,1907,CHINA,Hong Kong,Fishing,M,,N
5208,1907,CHINA,Hong Kong,Fishing,M,,Y
5209,1907,AUSTRALIA,New South Wales,Bathing,M,,N
5210,1907,HAITI,Tiburon Peninsula,Reached out to disentangle rope & fell overboard,M,,N
5211,1907,USA,Hawaii,"Diving, retrieving fish caught in net ",M,,N
5212,1907,ENGLAND,English Channel,Swimming,M,,N
5213,1907,CROATIA," Split-Dalmatia Count,",Swimming,F,,Y
5214,1907,CROATIA, Primorje-Gorski Kotar County,Swimming,F,,Y
5215,1907,CROATIA, Primorje-Gorski Kotar County,Swimming,M,,Y
5216,1907,USA,New Jersey,Wading,M,,N
5218,1907,AUSTRALIA,Queensland,.,M,,Y
5219,1907,USA,South Carolina,Floating in creek,M,,N
5220,1907,MEXICO,Oaxaca,Bathing,M,,N
5221,1907,USA,Florida,"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,,Y
5222,1907,MALTA,Harare Province,Fishing,M,,Y
5223,1907,PHILIPPINES,Luzon Island,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,,N
5224,1907,NEW ZEALAND,South Island,Standing,M,55,Y
5225,1907,AUSTRALIA,Queensland,Bathing,M,18,Y
5226,1907,VIETNAM,Khánh Hòa Province,Fishing,M,20,N
5227,1907,USA,Hawaii,"Net fishing, fell into the water",M,,Y
5228,1906,JAMAICA,Westmoreland Parish,Fishing,M,,N
5229,1906,USA,Hawaii,,M,,N
5230,1906,USA,Hawaii,Swimming,M,,Y
5231,1906,USA,Hawaii,Diving,M,,N
5233,1906,INDONESIA,Java,Swimming,M,,N
5234,1906,INDONESIA,Java,Swimming,M,,Y
5235,1906,AUSTRALIA,Torres Strait,Swimming,M,,Y
5236,1906,USA,California,Fishing,M,,N
5237,1906,YEMEN ,Aden,Diving around anchored liner,M,,N
5238,1906,USA,Maryland,Fell overboard,M,,Y
5239,1906,USA,Mississippi,Swimming,M,,Y
5240,1906,MOZAMBIQUE,Maputo Province,,M,,Y
5241,1906,INDONESIA,Maluku Province,Hard hat diving,M,,Y
5242,1906,AUSTRALIA,Victoria,Shooting sharks ,M,,N
