Case Number,Year,Country,Area
1971.04.05.a,1971,VENEZUELA,
1971.04.00,1971,MOZAMBIQUE,Between Beira & Maputo
1971.03.30,1971,NEW ZEALAND,South Island
1971.01.02,1971,AUSTRALIA,Tasmania
1971.00.00.c,1971,AUSTRALIA,South Australia
1971.00.00.b,1971,IRAN,Khuzestan Province
1971.00.00.a,1971,IRAN,Khuzestan Province
1970.12.17,1970,MOZAMBIQUE,Inhambe Province
1970.12.13,1970,MOZAMBIQUE,Inhambe Province
1970.12.07,1970,MICRONESIA,Namonuito Atoll
1970.12.03,1970,USA,Hawaii
1970.11.00,1970,,
1970.10.24,1970,USA,Hawaii
1970.10.00,1970,USA,Florida
1970.09.28,1970,MICRONESIA,Eastern Caroline Islands
1970.09.13,1970,PALAU,Western Caroline Islands (North Pacific Ocean)
1970.09.05,1970,USA,Florida
1970.09.02,1970,AUSTRALIA,New South Wales
1970.09.00.c,1970,USA,South Carolina
1970.09.00.a,1970,USA,Florida
1970.08.02,1970,,Caribbean Sea
1970.07.05,1970,,
1970.06.22,1970,USA,Florida
1970.06.15,1970,SOUTH AFRICA,KwaZulu-Natal
1970.06.13.b,1970,GRENADA,St. Andrew Parish
1970.06.13.a,1970,GRENADA,St. Andrew Parish
1970.06.00,1970,PHILIPPINES,200 nm southeast of Manila
1970.04.04,1970,GRENADA,St. Andrew Parish
1970.04.00.b,1970,,
1970.04.00.a,1970,SOLOMON ISLANDS,
1970.03.31,1970,USA,Hawaii
1970.03.23,1970,USA,Florida
1970.02.05,1970,,
1970.01.23.d,1970,MOZAMBIQUE,Limpopo River
1970.01.23.c,1970,MOZAMBIQUE,Limpopo River
1970.01.23.b,1970,MOZAMBIQUE,Limpopo River
1970.01.23.a,1970,MOZAMBIQUE,Limpopo River
1970.01.16,1970,EGYPT,Red Sea
1970.01.10,1970,MEXICO,Guerrero
1970.01.09.R,1970,ENGLAND,Devon
1970.01.00,1970,PAPUA NEW GUINEA,New Ireland Province
1970.00.00.h,1970,SRI LANKA,Western Province
1970.00.00.g,1970,SPAIN,Canary Islands
1970.00.00.f,1970,ITALY,Sardinia
1970.00.00.e,1970,CROATIA,Zadar County
1970.00.00.d,1970,IRAQ,Basrah
1970.00.00.c,1970,IRAQ,Basrah
1970.00.00.b,1970,IRAQ,Basrah
1970.00.00.a,1970,IRAQ,Basrah
1969.11.30,1969,AUSTRALIA,Western Australia
1969.11.11,1969,USA,Hawaii
1969.11.05,1969,AUSTRALIA,New South Wales
1969.10.14,1969,USA,Hawaii
1969.09.06,1969,USA,California
1969.08.29,1969,USA,Florida
1969.08.22,1969,USA,Massachusetts
1969.08.02,1969,USA,Florida
1969.08.01,1969,USA,Florida
1969.08.00,1969,,
1969.07.27,1969,ENGLAND,
1969.07.22,1969,USA,Florida
1969.07.20,1969,USA,California
1969.06.27,1969,USA,Florida
1969.06.12,1969,JAMAICA,Clarendon
1969.06.00,1969,USA,Florida
1969.05.25,1969,USA,Texas
1969.05.24,1969,USA,Florida
1969.05.22,1969,DOMINICAN REPUBLIC,
1969.05.14,1969,AUSTRALIA,Queensland
1969.04.22,1969,AUSTRALIA,New South Wales
1969.04.19,1969,USA,Florida
1969.03.25,1969,AUSTRALIA,New South Wales
1969.03.09,1969,USA,Hawaii
1969.02.17.R,1969,AUSTRALIA,Tasmania
1969.02.00,1969,AUSTRALIA,Queensland
1969.01.27,1969,AUSTRALIA,New South Wales
1969.01.00,1969,AUSTRALIA,Victoria
1969.00.00,1969,BAHAMAS,Eleuthera
1968.12.29,1968,SOUTH AFRICA,KwaZulu-Natal
1968.12.26,1968,AUSTRALIA,New South Wales
1968.12.25,1968,NEW ZEALAND,South Island
1968.12.09,1968,AUSTRALIA,South Australia
1968.12.02,1968,SOUTH AFRICA,KwaZulu-Natal
1968.12.00,1968,SOUTH AFRICA,KwaZulu-Natal
1968.11.06,1968,SOUTH AFRICA,KwaZulu-Natal
1968.11.02,1968,AUSTRALIA,Western Australia
1968.10.29,1968,BAHAMAS,
1968.10.13,1968,USA,Florida
1968.10.10,1968,PHILIPPINES,Moro Gulf
1968.09.22,1968,USA,Florida
1968.09.15,1968,NEW ZEALAND,South Island
1968.08.24,1968,USA,Florida
1968.08.21,1968,USA,Florida
1968.08.13,1968,FRENCH POLYNESIA,Society Islands
1968.08.11,1968,MALAYSIA,Johor
1968.08.08,1968,COLUMBIA,Magdalena Department
1968.07.27,1968,USA,California
1968.07.23,1968,USA,Florida
1968.07.16,1968,USA,South Carolina
1968.07.10,1968,BAHAMAS,Great Exuma Island
1968.07.00,1968,MEXICO,Baja California
1968.06.25,1968,BAHAMAS,Eleuthera
1968.06.09,1968,USA,Florida
1968.06.00,1968,ENGLAND,
1968.05.18,1968,TANZANIA,Mafia Island
1968.05.00,1968,PAPUA NEW GUINEA,New Ireland Province
1968.04.29,1968,USA,Florida
1968.04.20,1968,USA,Florida
1968.04.15,1968,AUSTRALIA,New South Wales
1968.04.11.R,1968,PAPUA NEW GUINEA,Gulf Province
1968.04.07,1968,AUSTRALIA,New South Wales
1968.03.25,1968,SOUTH AFRICA,KwaZulu-Natal
1968.03.10,1968,USA,Florida
1968.03.00,1968,USA,Florida
1968.02.26,1968,USA,Florida
1968.02.20,1968,AUSTRALIA,Western Australia
1968.02.18,1968,NEW ZEALAND,North Island
1968.02.04,1968,AUSTRALIA,South Australia
1968.02.02,1968,AUSTRALIA,New South Wales
1968.02.00,1968,MOZAMBIQUE,
1968.01.17,1968,PAPUA NEW GUINEA,Morobe Province
1968.00.00.c,1968,COSTA RICA,Limón Province
1968.00.00.b,1968,USA,Florida
1968.00.00.a,1968,USA,Florida
1967.12.30,1967,SOUTH AFRICA,Western Cape Province
1967.12.21.R,1967,PAPUA NEW GUINEA,Central Province
1967.12.18,1967,FIJI,
1967.12.17,1967,AUSTRALIA,Victoria
1967.12.14,1967,USA,
1967.11.30.b,1967,AUSTRALIA,New South Wales
1967.11.30.a,1967,AUSTRALIA,Queensland
1967.11.15,1967,FIJI,
1967.11.04,1967,PHILIPPINES,Rombion Province
1967.11.00,1967,SOUTH AFRICA,KwaZulu-Natal
1967.10.26.R,1967,MEXICO,Veracruz
1967.10.17,1967,USA,Florida
1967.10.00,1967,TONGA,
1967.09.20,1967,USA,Hawaii
1967.09.13,1967,ITALY,Brindisi Province
1967.09.07.b,1967,PAPUA NEW GUINEA,New Ireland Province
1967.09.07.a,1967,USA,Florida
1967.09.06,1967,PAPUA NEW GUINEA,New Ireland Province
1967.09.01,1967,PAPUA NEW GUINEA,New Ireland Province
1967.08.27,1967,USA,California
1967.08.26,1967,JAPAN,Kagawa Prefecture
1967.08.25,1967,ITALY,Liguria
1967.08.19,1967,AUSTRALIA,Western Australia
1967.08.15,1967,BERMUDA,Hamilton
1967.08.14.R,1967,COLUMBIA,
1967.08.10,1967,AUSTRALIA,New South Wales
1967.08.07,1967,USA,Florida
1967.08.00.b,1967,BAHAMAS,Out Islands
1967.08.00.a,1967,SENEGAL,Cap Vert Peninsula
1967.07.29,1967,USA,Florida
1967.07.05,1967,TURKEY,Mugla Province
1967.07.00,1967,USA,South Carolina
1967.06.13,1967,USA,Florida
1967.06.00,1967,ITALY,Sicily
1967.05.13,1967,AUSTRALIA,South Australia
1967.05.09,1967,AUSTRALIA,
1967.04.00,1967,UNITED KINGDOM,Gibraltar
1967.03.20,1967,NEW ZEALAND,North Island
1967.03.19,1967,SOUTH AFRICA,KwaZulu-Natal
1967.03.12,1967,AUSTRALIA,Victoria
1967.03.10,1967,AUSTRALIA,New South Wales
1967.03.09,1967,NEW ZEALAND,South Island
1967.03.01,1967,PAPUA NEW GUINEA,New Britain
1967.02.06,1967,MEXICO,Veracruz
1967.01.27,1967,SOUTH AFRICA,Western Cape Province
1967.01.22,1967,SOUTH AFRICA,Western Cape Province
1967.01.21,1967,MOZAMBIQUE,Bay of Maputo
1967.01.06,1967,AUSTRALIA,Victoria
1966.12.31,1966,AUSTRALIA,Tasmania
1966.12.27.b,1966,AUSTRALIA,New South Wales
1966.12.27.a,1966,AUSTRALIA,New South Wales
1966.12.26,1966,SINGAPORE,
1966.12.26,1966,AUSTRALIA,New South Wales
1966.11.14,1966,THAILAND,
1966.11.00,1966,PAPUA NEW GUINEA,New Ireland Province
1966.10.30,1966,PAPUA NEW GUINEA,New Ireland Province
1966.10.29,1966,PAPUA NEW GUINEA,New Ireland Province
1966.09.27,1966,AUSTRALIA,Queensland
1966.09.19,1966,USA,Hawaii
1966.09.18,1966,AUSTRALIA,Western Australia
1966.09.13,1966,AUSTRALIA,Western Australia
1966.09.10,1966,AUSTRALIA,Western Australia
1966.09.08.b,1966,USA,Florida
1966.09.00,1966,BAHAMAS,Bimini Islands
1966.08.28,1966,AUSTRALIA,Northern Territory
1966.08.27.b,1966,SOUTH AFRICA,KwaZulu-Natal
1966.08.27.a,1966,BAHAMAS,Bimini Islands
1966.08.21.b,1966,NEW BRITAIN,Duke of York Islands
1966.08.21.a,1966,NEW BRITAIN,Duke of York Islands
1966.08.16,1966,CROATIA,Primorje-Gorski Kotar County 
1966.08.14,1966,TAIWAN,
1966.08.13,1966,ITALY,Taranto province
1966.08.00.b,1966,USA,Delaware
1966.08.00.a,1966,USA,Florida
1966.07.31,1966,USA,Texas
1966.07.19,1966,USA,South Carolina
1966.07.17.b,1966,USA,Texas
1966.07.17.a,1966,TAIWAN,Northern Taiwan
1966.07.14,1966,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province"
1966.07.03,1966,USA,Florida
1966.07.02,1966,CARIBBEAN SEA,
1966.06.22,1966,USA,New Jersey
1966.06.11,1966,USA,Florida
1966.06.04,1966,USA,Texas
1966.06.02,1966,FRENCH POLYNESIA,Society Islands
1966.05.20.c,1966,AUSTRALIA,New South Wales
1966.05.20.b,1966,AUSTRALIA,New South Wales
1966.05.20.a,1966,AUSTRALIA,
1966.05.16.b,1966,USA,Florida
1966.05.16.a,1966,PHILIPPINES,
1966.04.08,1966,USA,Puerto Rico
1966.04.00,1966,AUSTRALIA,New South Wales
1966.03.20,1966,AUSTRALIA,New South Wales
1966.03.12,1966,SUDAN,Red Sea
1966.02.27,1966,AUSTRALIA,New South Wales
1966.01.29,1966,SOUTH AFRICA,Western Cape Province
1966.01.25,1966,INDONESIA,North Sumatra
1966.01.22,1966,USA,California
1966.01.15,1966,AUSTRALIA,New South Wales
1966.01.14,1966,COLUMBIA,
1966.01.11,1966,SOUTH AFRICA,Eastern Cape Province
1966.01.10,1966,AUSTRALIA,Western Australia
1966.01.09,1966,SOUTH AFRICA,KwaZulu-Natal
1966.01.08,1966,NEW ZEALAND,North Island
1966.01.05,1966,USA,Florida
1966.00.00,1966,USA,California
1965.12.28,1965,AUSTRALIA,Western Australia
1965.12.19,1965,JOHNSTON ISLAND,
1965.12.10,1965,AUSTRALIA,South Australia
1965.11.21.b,1965,AUSTRALIA,Queensland
1965.11.21.a,1965,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii"
1965.11.03.b,1965,PANAMA,Caribbean Sea
1965.11.03.a,1965,AUSTRALIA,Queensland
1965.10.21,1965,,
1965.10.16.b,1965,BAHAMAS,New Providence Island
1965.10.16.a,1965,BAHAMAS,New Providence Island
1965.10.10,1965,NEW BRITAIN,West coast
1965.10.00,1965,PAPUA NEW GUINEA,New Britain
1965.09.21,1965,PAPUA NEW GUINEA,Madang Province
1965.09.12,1965,PAPUA NEW GUINEA,East Sepik
1965.09.08,1965,MEXICO,Veracruz
1965.08.30,1965,PHILIPPINES,
1965.08.26,1965,USA,New Jersey
1965.07.30,1965,BAHAMAS,Bimini Islands
1965.07.26,1965,MEXICO,Veracruz
1965.07.02.R,1965,BERMUDA,Hamilton
1965.06.19,1965,USA,Florida
1965.06.18,1965,USA,Florida
1965.06.09,1965,MEXICO,Veracruz
1965.06.00.b,1965,PAPUA NEW GUINEA,Near Bougainville (North Solomons)
1965.06.00,1965,SOUTH PACIFIC OCEAN,
1965.05.29,1965,MEXICO,Veracruz
1965.05.28,1965,MEXICO,Veracruz
1965.05.00.c,1965,EGYPT,
1965.05.00.b,1965,JAMAICA,
1965.05.00.a,1965,MEXICO,Veracruz
1965.04.29,1965,USA,Florida
1965.04.25,1965,USA,California
1965.04.10,1965,USA,Florida
1965.04.04.b,1965,PALAU,Western Caroline Islands
1965.04.04.a,1965,USA,Florida
1965.03.23,1965,USA,Puerto Rico
1965.03.14,1965,USA,Florida
1965.02.14,1965,SOUTH AFRICA,KwaZulu-Natal
1965.02.04,1965,USA,Massachusetts
1965.01.25,1965,USA,California
1965.01.23,1965,SOUTH AFRICA,KwaZulu-Natal
1965.01.16,1965,SOUTH AFRICA,KwaZulu-Natal
1965.01.10,1965,AUSTRALIA,Victoria
1965.01.09,1965,NEW GUINEA,Central Province
1965.00.00.g,1965,USA,Texas
1965.00.00.f,1965,USA,California
1965.00.00.e,1965,USA,Florida
1965.00.00.d,1965,RED SEA,East of the Gulf of Aqaba
1965.00.00.c,1965,EGYPT,
1965.00.00.b,1965,VANUATU,Malampa Province
1965.00.00.a,1965,SOUTH AFRICA,Eastern Cape Province
1964.12.25,1964,SOUTH AFRICA,Eastern Cape Province
1964.12.10.b,1964,PAPUA NEW GUINEA,Bougainville (North Solomons)
1964.12.10.a,1964,AUSTRALIA,New South Wales
1964.12.09,1964,PAPUA NEW GUINEA,Bougainville (North Solomons)
1964.12.06,1964,KENYA,Coast Province
1964.11.29,1964,AUSTRALIA,Victoria 
1964.11.18,1964,AUSTRALIA,Queensland
1964.11.13,1964,AUSTRALIA,New South Wales
1964.11.05,1964,USA,Puerto Rico
1964.10.31,1964,SOUTH AFRICA,KwaZulu-Natal
1964.10.25,1964,USA,Florida
1964.10.04,1964,AUSTRALIA,Western Australia
1964.09.27,1964,,
1964.09.20,1964,TAIWAN,Northern Taiwan
1964.09.07,1964,TAIWAN,Northern Taiwan
1964.08.26,1964,USA,Florida
1964.08.23,1964,MEXICO,Guerrero
1964.08.22,1964,USA,Florida
1964.08.21,1964,USA,Florida
1964.08.08,1964,USA,Florida
1964.08.03,1964,JAPAN,Okayama Prefecture
1964.08.00,1964,PANAMA,San Blas
1964.07.27,1964,USA,Puerto Rico
1964.07.16,1964,SOUTH AFRICA,KwaZulu-Natal
1964.07.15,1964,USA,Connecticut
1964.07.08.b,1964,SOUTH AFRICA,KwaZulu-Natal
1964.07.08.a,1964,USA,Florida
1964.07.00.b,1964,PAPUA NEW GUINEA,New Ireland Province
1964.07.00.a,1964,PAPUA NEW GUINEA,New Ireland Province
1964.06.29.a,1964,BERMUDA,Hamilton
1964.06.28,1964,USA,New York
1964.06.24,1964,USA,California
1964.06.17,1964,PAPUA NEW GUINEA,New Britain
1964.06.23,1964,FIJI,Lau Group
1964.06.02,1964,SOUTH AFRICA,KwaZulu-Natal
1964.05.30,1964,PANAMA,Caribbean Coast
1964.05.08,1964,FIJI,Vita Levu
1964.05.00,1964,PANAMA,San Blas Islands
1964.04.07,1964,PAPUA NEW GUINEA,Madang Province
1964.03.28.b,1964,AUSTRALIA,South Australia
1964.03.28.a,1964,PAPUA NEW GUINEA,Central Province
1964.03.05,1964,USA,Florida
1964.03.00,1964,SENEGAL,Cap Vert Peninsula
1964.02.17.R,1964,FIJI,
1964.02.14.b,1964,NEW CALEDONIA,
1964.02.14.a,1964,FIJI,Vanua Levu
1964.02.11,1964,NEW ZEALAND,North Island
1964.02.10,1964,NEW ZEALAND,North Island
1964.02.08,1964,SOUTH AFRICA,Western Cape Province
1964.02.05.b,1964,NEW ZEALAND,North Island
1964.02.05.a,1964,NEW ZEALAND,South Island
1964.02.02,1964,AUSTRALIA,Queensland
1964.02.01,1964,NEW ZEALAND,South Island
1964.02.00.b,1964,USA,Florida
1964.02.00.a,1964,COSTA RICA,Puntarenas Province
1964.01.27,1964,FIJI,
1964.01.23,1964,SOUTH AFRICA,Eastern Cape Province
1964.01.22,1964,SOUTH AFRICA,Eastern Cape Province
1964.01.21,1964,SOUTH AFRICA,Western Cape Province
1964.01.18,1964,AUSTRALIA,Western Australia
1964.01.11,1964,USA,California
1964.01.06.R,1964,PAPUA NEW GUINEA,New Britain
1964.01.04,1964,FIJI,"Lomaloma, Lau"
1964.01.01.b,1964,AUSTRALIA,Western Australia
1964.01.01.a,1964,SOUTH AFRICA,Western Cape Province
1964.01.00,1964,NEW ZEALAND,North Island
1963.12.29,1963,SOUTH AFRICA,KwaZulu-Natal
1963.12.26.b,1963,SOUTH AFRICA,KwaZulu-Natal
1963.12.26.a,1963,AUSTRALIA,Queensland
1963.12.25,1963,SOUTH AFRICA,Eastern Cape Province
1963.12.22.b,1963,ATLANTIC OCEAN,Between Southampton & Canary Islands
1963.12.22.a,1963,SOUTH AFRICA,KwaZulu-Natal
1963.12.21,1963,AUSTRALIA,New South Wales
1963.12.20.b,1963,SOUTH AFRICA,Western Cape Province
1963.12.20.a,1963,SOUTH AFRICA,KwaZulu-Natal
1963.12.08,1963,AUSTRALIA,South Australia
1963.12.04.R,1963,NEW BRITAIN,"South Coast, East New Britain"
1963.11.30.b,1963,NEW ZEALAND,South Island
1963.11.30.a,1963,PAPUA NEW GUINEA,Gulf Province
1963.11.28,1963,FIJI, Lau Province
1963.11.25,1963,FIJI,Vita Levu
1963.11.16.R,1963,ITALY,Sicily
1963.11.14,1963,AUSTRALIA,Queensland
1963.11.12,1963,USA,Florida
1963.11.05.R,1963,PAPUA NEW GUINEA,New Britain
1963.11.04,1963,PALAU,Western Caroline Islands
1963.10.16,1963,USA,Florida
1963.10.15,1963,NORTH PACIFIC OCEAN,
1963.09.29,1963,CHILE,
1963.09.26,1963,USA,Florida
1963.09.22,1963,SOLOMON ISLANDS,Ysabel Island
1963.09.13,1963,AUSTRALIA,New South Wales
1963.09.10,1963,USA,Florida
1963.08.00,1963,DOMINICAN REPUBLIC,Santo Domingo
1963.07.28,1963,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands
1963.07.15,1963,USA,Florida
1963.07.11,1963,USA,Mississippi
1963.07.10.R,1963,JAMAICA,
1963.07.00,1963,PANAMA,San Blas coast
1963.06.01.b,1963,GREECE,Thessaly
1963.06.01.a,1963,PAPUA NEW GUINEA,Central Province
1963.05.18,1963,USA,California
1963.05.14,1963,PHILIPPINES,Luzon Island
1963.04.22,1963,AUSTRALIA,New South Wales
1963.04.20,1963,USA,US Virgin Islands
1963.04.17,1963,SOUTH AFRICA,KwaZulu-Natal
1963.04.13,1963,AUSTRALIA,Western Australia
1963.04.12,1963,USA,Hawaii
1963.04.08,1963,USA,Hawaii
1963.03.30,1963,SOLOMON ISLANDS,Bougainville (North Solomons)
1963.02.27,1963,PAPUA NEW GUINEA,New Ireland Province
1963.02.24,1963,AUSTRALIA,New South Wales
1963.02.08,1963,FIJI,Lomaiviti  Island Group
1963.02.06,1963,MAURITIUS,Rodrigues
1963.02.04,1963,USA,Florida
1963.01.30,1963,FIJI,
1963.01.28,1963,AUSTRALIA,New South Wales
1963.01.26,1963,AUSTRALIA,New South Wales
1963.01.22,1963,SOUTH AFRICA,Western Cape Province
1963.01.14,1963,NEW ZEALAND,North Island
1963.01.12,1963,SOUTH AFRICA,Eastern Cape Province
1963.01.11,1963,SOUTH AFRICA,KwaZulu-Natal
1963.01.06,1963,SOUTH AFRICA,KwaZulu-Natal
1963.01.04,1963,AUSTRALIA,South Australia
1963.01.00,1963,MOZAMBIQUE,
1963.00.00.b,1963,FIJI,Vita Levu
1963.00.00.a,1963,SEYCHELLES,
1962.12.30,1962,SOUTH AFRICA,KwaZulu-Natal
1962.12.09,1962,AUSTRALIA,South Australia
1962.12.00,1962,SOUTH AFRICA,Western Cape Province
1962.11.29,1962,AUSTRALIA,New South Wales
1962.11.25,1962,AUSTRALIA,Queensland
1962.11.11,1962,USA,California
1962.11.10,1962,AUSTRALIA,New South Wales
1962.11.00,1962,MID ATLANTIC OCEAN,
1962.10.28,1962,SOUTH AFRICA,KwaZulu-Natal
1962.10.25,1962,MEXICO,Veracruz
1962.10.15,1962,ADMIRALTY ISLANDS,Manus Island
1962.10.14,1962,AUSTRALIA,South Australia
1962.10.06,1962,USA,California
1962.10.00,1962,PANAMA,Pinas Bay
1962.09.30,1962,BRITISH WEST INDIES,Grand Turk Island
1962.09.22,1962,MEXICO,Veracruz
1962.09.13,1962,SOUTH ATLANTIC OCEAN,Off coast of West Africa
1962.09.02,1962,ITALY,Tyrrhenian Sea
1962.08.31.R,1962,ISRAEL,Sharon
"1962,08.30.b",1962,TURKEY,Antalya Province
1962.08.30.a,1962,PAPUA NEW GUINEA,Northern District
1962.08.29,1962,USA,California
1962.08.26,1962,USA,Florida
1962.08.23,1962,SOUTH AFRICA,Western Cape Province
1962.08.19,1962,USA,Texas
1962.08.12,1962,USA,New Jersey
1962.08.01,1962,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago"
1962.08.00.b,1962,ITALY,Tyrrhenian Sea
1962.08.00.a,1962,SENEGAL,Cap Vert Peninsula
1962.07.28,1962,USA,South Carolina
1962.07.20,1962,MADAGASCAR,
1962.07.19,1962,USA,California
1962.07.10,1962,USA,Georgia
1962.07.07,1962,USA,Georgia
1962.07.03.R,1962,GREECE,Cyclades
1962.06.25,1962,USA,Florida
1962.06.21,1962,SOUTH AFRICA,Western Cape Province
1962.06.17,1962,USA,Florida
1962.06.11.b,1962,USA,California
1962.06.11.b,1962,USA,California
1962.06.11.a,1962,USA,California
1962.06.10.b,1962,PAPUA NEW GUINEA,Madang Province
1962.06.10.a,1962,USA,South Carolina
1962.06.07,1962,AUSTRALIA,Western Australia
1962.06.04,1962,USA,California
1962.06.03,1962,USA,Florida
1962.05.29,1962,USA,Florida
1962.05.12,1962,USA,California
1962.05.00.R,1962,FIJI,Viti Levu
1962.04.20,1962,AUSTRALIA,Queensland
1962.04.09,1962,MOZAMBIQUE,Gaza
1962.04.07,1962,SOUTH AFRICA,KwaZulu-Natal
1962.04.05,1962,SOUTH AFRICA,Eastern Cape Province
1962.03.25.b,1962,NEW ZEALAND,"Off the Coromandel Peninsula, North Island"
1962.03.25.a,1962,AUSTRALIA,New South Wales
1962.03.24,1962,PAPUA NEW GUINEA,Madang
1962.02.23,1962,PAPUA NEW GUINEA,Central Province
1962.02.18,1962,NEW ZEALAND,Southland
1962.02.15,1962,AUSTRALIA,Queensland
1962.02.07,1962,SOUTH AFRICA,KwaZulu-Natal
1962.02.05,1962,SOUTH AFRICA,KwaZulu-Natal
1962.02.04,1962,AUSTRALIA,Queensland
1962.02.02,1962,NEW ZEALAND,North Island
1962.02.00,1962,SOLOMON ISLANDS,Guadalcanal Province
1962.01.27,1962,NEW ZEALAND,South Island
1962.01.26,1962,MOZAMBIQUE,Gaza
1962.01.21,1962,AUSTRALIA,New South Wales
1962.01.18,1962,SOUTH AFRICA,KwaZulu-Natal
1962.01.16,1962,NEW ZEALAND,South Island
1962.01.15,1962,NEW ZEALAND,North Island
1962.01.14.c,1962,USA,California
1962.01.14.b,1962,AUSTRALIA,New South Wales
1962.01.14.a,1962,AUSTRALIA,New South Wales
1962.01.11.c,1962,AUSTRALIA,South Australia
1962.01.11.b,1962,PAPUA NEW GUINEA,"10ºS, 142ºE"
1962.01.11.a,1962,NEW ZEALAND,South Island
1962.01.10,1962,AUSTRALIA,South Australia
1962.01.08,1962,AUSTRALIA,New South Wales
1962.01.07.b,1962,AUSTRALIA,Queensland
1962.01.07.a,1962,AUSTRALIA,New South Wales
1962.01.06,1962,SOUTH AFRICA,Western Cape Province
1962.01.02,1962,AUSTRALIA,New South Wales
1962.01.01,1962,MARSHALL ISLANDS,Kwajalein Atoll
1962.00.00.c,1962,SPAIN,Catalonia
1962.00.00.b,1962,INDONESIA,East Flores
1962.00.00.a,1962,AUSTRALIA,South Australia
1961.12.28.c,1961,AUSTRALIA,Queensland
1961.12.28.b,1961,AUSTRALIA,Queensland
1961.12.28.a,1961,SOUTH AFRICA,KwaZulu-Natal
1961.12.27,1961,AUSTRALIA,Western Australia
1961.12.19,1961,AUSTRALIA,South Australia
1961.12.18.b,1961,MOZAMBIQUE,Gaza
1961.12.18.a,1961,AUSTRALIA,Queensland
1961.12.13,1961,AUSTRALIA,Torres Strait
1961.11.14,1961,MEXICO,Guerrrero
1961.10.27,1961,PHILIPPINES,Western Luzon Island
1961.10.09,1961,USA,Florida
1961.10.00.b,1961,VANUATU,Shefa Province
1961.10.00.a,1961,USA,Florida
1961.09.26,1961,USA,Florida
1961.09.24.b,1961,CROATIA,Primorje-Gorski Kotar County 
1961.09.24.a,1961,TANZANIA,
1961.09.23,1961,MID ATLANTIC OCEAN,165  miles from Bermuda
1961.09.07,1961,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf
1961.09.02.R,1961,ITALY,Venice Province
1961.09.06,1961,AUSTRALIA,Western Australia
1961.08.20,1961,USA,California
1961.08.16,1961,USA,South Carolina
1961.08.04,1961,BERMUDA,
1961.08.02,1961,USA,Hawaii
1961.08.01,1961,PAPUA NEW GUINEA,Sandaun Province
1961.07.29,1961,USA,New York
1961.07.16,1971,TURKEY,Anatolia
1961.07.07.b,1961,AUSTRALIA,Queensland
1961.07.00.b,1961,ITALY,Adriatic Sea
1961.07.00.a,1961,PANAMA,
1961.06.24,1961,USA,Florida
1961.06.18,1961,USA,Florida
1961.06.06.R,1961,USA,Florida
1961.06.02,1961,NEW BRITAIN,East New Britain Province
1961.06.01,1961,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province"
1961.05.21,1961,USA,California
1961.05.17,1961,NEW BRITAIN,East New Britain Province
1961.05.15,1961,USA,Florida
1961.05.07,1961,AUSTRALIA,Western Australia
1961.04.30,1961,USA,Florida
1961.04.25,1961,AUSTRALIA,New South Wales
1961.04.21,1961,MOZAMBIQUE,Gaza
1961.04.17,1961,SOUTH AFRICA,Eastern Cape Province
1961.04.16.b,1961,USA,Florida
1961.04.16.a,1961,AUSTRALIA,New South Wales
1961.04.14,1961,AUSTRALIA,New South Wales
1961.04.09,1961,MOZAMBIQUE,Gaza
1961.04.08,1961,PERSIAN GULF,United Arab Emirates
1961.04.03,1961,AUSTRALIA,Victoria
1961.04.00,1961,AUSTRALIA,Western Australia
1961.03.30,1961,AUSTRALIA,South Australia
1961.03.18,1961,AUSTRALIA,Victoria
1961.03.14,1961,AUSTRALIA,Western Australia
1961.03.12,1961,AUSTRALIA,South Australia
1961.03.09,1961,NORTH PACIFIC OCEAN,Wake Island (EnenKio)
1961.03.07,1961,SOUTH AFRICA,KwaZulu-Natal
1961.03.00,1961,FIJI,"19S, 178?E"
1961.02.17.b,1961,USA,Pennsylvania
1961.02.17.a,1961,AUSTRALIA,Victoria
1961.02.16,1961,JAMAICA,
1961.02.12,1961,SOUTH AFRICA,Western Cape Province
1961.02.01.b,1961,SOUTH AFRICA,Eastern Cape Province
1961.02.01.a,1961,AUSTRALIA,Western Australia
1961.02.00,1961,USA,California
1961.01.25,1961,SOUTH AFRICA,Western Cape Province
1961.01.22,1961,SOUTH AFRICA,KwaZulu-Natal
1961.01.15,1961,AUSTRALIA,New South Wales
1961.01.06.c,1961,SOUTH AFRICA,KwaZulu-Natal
1961.01.06.b,1961,ATLANTIC OCEAN,9.35N 79.35W
1961.01.06.a,1961,AUSTRALIA,Northern Territory
1961.01.05,1961,MOZAMBIQUE,Limpopo River
1961.01.03.b,1961,SOUTH AFRICA,Western Cape Province
1961.01.03.a,1961,SOUTH AFRICA,KwaZulu-Natal
1961.01.02.R,1961,AUSTRALIA,Tasmania
1961.00.00.e,1961,AUSTRALIA,New South Wales
1961.01.01,1961,COLUMBIA,Roncador Bank
1961.00.00.d,1961,NEW CALEDONIA,
1961.00.00.b,1961,SENEGAL,Cap Vert Peninsula
1961.00.00.a,1961,USA,Hawaii
