Case Number,Year,Country,Area
2013.11.23.a,2013,AUSTRALIA,Western Australia
2013.11.22,2013,USA,Oregon
2013.11.12,2013,AUSTRALIA,Western Australia
2013.11.10,2013,BAHAMAS,
2013.11.07.b,2013,USA,New Jersey
2013.11.07.a,2013,USA,Florida
2013.10.31,2013,USA,Hawaii
2013.10.28,2013,AUSTRALIA,Western Australia
2013.10.26.b,2013,REUNION,dÉtang-Salé
2013.10.26.a,2013,AUSTRALIA,Western Australia
2013.10.24,2013,AUSTRALIA,New South Wales
2013.10.23,2013,USA,Hawaii
2013.10.20,2013,USA,Hawaii
2013.10.19,2013,USA,Florida
2013.10.11,2013,SOUTH AFRICA,Eastern Cape Province
2013.10.08,2013,AUSTRALIA,Western Australia
2013.10.05,2013,USA,California
2013.10.05,2013,USA,Florida
2013.09.29.b,2013,USA,Florida
2013.09.29.a,2013,ISRAEL,Southern District
2013.09.25,2013,USA,Florida
2013.09.21.b,2013,USA,Florida
2013.09.21.a,2013,USA,Florida
2013.09.14,2013,USA,Florida
2013.09.12,2013,USA,Florida
2013.09.08,2013,USA,South Carolina
2013.09.07.b,2013,USA,Florida
2013.09.07.a,2013,USA,Florida
2013.09.02,2013,USA,Florida
2013.09.01.c,2013,USA,Florida
2013.09.01.b,2013,BAHAMAS,
2013.09.01.a,2013,USA,Florida
2013.08.31.b,2013,BAHAMAS,
2013.08.31.a,2013,USA,California
2013.08.29,2013,USA,California
2013.08.26,2013,FRANCE,Bay of Biscay
2013.08.25.b,2013,USA,Florida
2013.08.25,2013,AUSTRALIA,New South Wales
2013.08.18,2013,USA,Hawaii
2013.08.17,2013,USA,California
2013.08.14,2013,USA,Hawaii
2013.08.13,2013,USA,Hawaii
2013.08.11,2013,USA,South Carolina
2013.08.08.R,2013,SOUTH AFRICA,
2013.08.05,2013,USA,Florida
2013.07.31,2013,USA,Hawaii
2013.07.30,2013,USA,South Carolina
2013.07.29.c,2013,BAHAMAS,Abaco Islands
2013.07.29.b,2013,MEXICO,Quintana Roo
2013.07.29.a,2013,USA,Hawaii
2013.07.28.b,2013,BAHAMAS,Exuma Islands
2013.07.28.a,2013,BAHAMAS,Abaco Islands
2013.07.22,2013,BRAZIL,Pernambuco
2013.07.19,2013,USA,Alabama
2013.07.17.R,2013,USA,Florida
2013.07.15,2013,REUNION,Saint-Paul
2013.07.14,2013,DIEGO GARCIA,
2013.07.11,2013,USA,North Carolina
2013.07.09,2013,SPAIN,Catalonia
2013.07.02,2013,AUSTRALIA,Victoria
2013.06.30,2013,TAIWAN,Taitung 
2013.06.27,2013,JAMAICA,Kingston Parish
2013.06.25.c,2013,USA,California
2013.06.25.b,2013,USA,Florida
2013.06.25.a,2013,USA,South Carolina
2013.06.18,2013,USA,Hawaii
2013.06.17,2013,USA,Texas
2013.06.16,2013,SOUTH AFRICA,Eastern Cape Province
2013.06.15,2013,USA,Florida
2013.06.14.R,2013,USA,South Carolina
2013.06.06.b,2013,USA,Florida
2013.06.06.a,2013,AUSTRALIA,New South Wales
2013.05.27.b,2013,USA,Hawaii
2013.05.27.a,2013,USA,Florida
2013.05.23.b,2013,BRAZIL,Pernambuco
2013.05.23.a,2013,PALESTINIAN TERRITORIES,
2013.05.14,2013,ECUADOR,Santa Cruz Island
2013.05.08.b,2013,USA,California
2013.05.08.a,2013,REUNION,Saint-Gilles
2013.05.04.a,2013,USA,Florida
2013.04.28,2013,AUSTRALIA,New South Wales
2013.04.24,2013,MEXICO,Quintana Roo
2013.04.21,2013,AUSTRALIA,New South Wales
2013.04.17,2013,USA,Florida
2013.04.14,2013,SOUTH AFRICA,Western Cape Province
2013.04.13.b,2013,USA,Florida
2013.04.13.a,2013,GUAM,
2013.04.10,2013,FRENCH POLYNESIA,Tuamotus
2013.04.04,2013,USA,Florida
2013.04.02.R,2013,AUSTRALIA,Western Australia
2013.04.02.a,2013,USA,Hawaii
2013.03.31,2013,AUSTRALIA,New South Wales
2013.03.29,2013,SEYCHELLES,
2013.03.21.R,2013,BELIZE,
2013.03.21,2013,BAHAMAS,Eleuthera
2013.03.16.b,2013,SOUTH AFRICA,Western Cape Province
2013.03.16.a,2013,SOUTH AFRICA,Western Cape Province
2013.03.12,2013,JAMAICA,St. Catherine
2013.03.10.b,2013,AUSTRALIA,Western Australia
2013.03.10.a,2013,PHILIPPINES,Palawan
2013.03.03,2013,SOUTH AFRICA,Eastern Cape Province
2013.02.27,2013,NEW ZEALAND,North Island
2013.02.21.b,2013,USA,Hawaii
2013.02.21.a,2013,USA,Hawaii
2013.02.10,2013,USA,Florida
2013.02.09,2013,FRENCH POLYNESIA,Society Islands
2013.02.01,2013,JAMAICA,Kingston Parish
2013.01.26,2013,AUSTRALIA,Victoria
2013.01.25,2013,AUSTRALIA,Queensland
2013.01.21.R,2013,AUSTRALIA,Queensland
2013.01.16,2013,USA,Hawaii
2013.01.13,2013,NEW ZEALAND,Mercury Islands
2013.01.05,2013,AUSTRALIA,Western Australia
2012.12.31,2012,USA,Florida
2012.12.30,2012,AUSTRALIA,New South Wales
2012.12.28,2012,AUSTRALIA,New South Wales
2012.12.25,2012,SOUTH AFRICA,Eastern Cape Province
2012.12.19,2012,AUSTRALIA,Western Australia
2012.12.05,2012,USA,Hawaii
2012.12.02,2012,AUSTRALIA,New South Wales
2012.12.00,2012,NEW ZEALAND,South Island
2012.11.30,2012,USA,Hawaii
2012.11.27,2012,AUSTRALIA,Queensland
2012.11.22,2012,MEXICO,Sinaloa
2012.11.19,2012,USA,Florida
2012.11.04.b,2012,USA,Hawaii
2012.11.04.a,2012,USA,Hawaii
2012.10.30,2012,USA,California
2012.10.27,2012,USA,Hawaii
2012.10.23,2012,USA,California
2012.10.19,2012,USA,Florida
2012.10.18.b,2012,USA,Florida
2012.10.18.a,2012,USA,Hawaii
2012.10.16,2012,USA,Florida
2012.10.11.R,2012,NIGERIA,Delta
2012.10.07,2012,USA,California
2012.10.02,2012,AUSTRALIA,Western Australia
2012.09.25,2012,USA,Florida
2012.09.24,2012,USA,Florida
2012.09.16,2012,USA,Florida
2012.09.10,2012,TONGA,Vava'u
2012.09.09,2012,USA,Florida
2012.09.08.b,2012,USA,Florida
2012.09.08.a,2012,USA,Florida
2012.09.06.b,2012,USA,Florida
2012.09.06.a,2012,USA,Florida
2012.09.04,2012,USA,Florida
2012.09.02.b,2012,USA,Florida
2012.09.02.b,2012,USA,Hawaii
2012.09.02.a,2012,USA,Florida
2012.08.31,2012,SCOTLAND,Inner Hebrides
2012.08.28,2012,AUSTRALIA,Western Australia
2012.08.26,2012,BRAZIL,Pernambuco
2012.08.15,2012,USA,Alabama
2012.08.11,2012,AUSTRALIA,Western Australia
2012.08.09,2012,USA,Florida
2012.08.05,2012,REUNION,Saint Leu
2012.08.04,2012,FRENCH POLYNESIA,Tuamotus
2012.07.31.b,2012,USA,California
2012.07.31.a,2012,AUSTRALIA,South Australia
2012.07.30.b,2012,USA,Hawaii
2012.07.30.a,2012,USA,Massachusetts
2012.07.24,2012,USA,North Carolina
2012.07.23,2012,REUNION,Trois-Bassins
2012.07.21,2012,TRINIDAD & TOBAGO,Trinidad
2012.07.19,2012,CANADA,British Colombia
2012.07.14,2012,AUSTRALIA,Western Australia
2012.07.08,2012,USA,North Carolina
2012.07.07.c,2012,BAHAMAS,Eleuthera
2012.07.07.b,2012,AUSTRALIA,Victoria
2012.07.07.a,2012,USA,California
2012.07.06,2012,SOUTH AFRICA,Western Cape Province
2012.06.28.R,2012,CROATIA,
2012.06.26.c,2012,USA,Florida
2012.06.26.b,2012,USA,Florida
2012.06.26.a,2012,USA,Hawaii
2012.06.22.b,2012,AUSTRALIA,Tasmania
2012.06.22.a,2012,USA,Florida
2012.06.20,2012,AUSTRALIA,Western Australia
2012.06.19,2012,USA,South Carolina
2012.06.18,2012,USA,North Carolina
2012.06.15,2012,USA,Florida
2012.06.14.d,2012,USA,South Carolina
2012.06.14.c,2012,USA,South Carolina
2012.06.14.b,2012,USA,South Carolina
2012.06.14.a,2012,USA,South Carolina
2012.06.12,2012,AUSTRALIA,Victoria
2012.06.10,2012,ITALY,Sardinia
2012.06.03,2012,AUSTRALIA,New South Wales
2012.06.02.b,2012,USA,Florida
2012.06.02.a,2012,USA,South Carolina
2012.05.31,2012,USA,North Carolina
2012.05.29,2012,MEXICO,Guerrero
2012.05.23,2012,USA,Florida
2012.05.20,2012,USA,Hawaii
2012.05.16,2012,FIJI,
2012.05.12,2012,USA,California
2012.05.09,2012,USA,Florida
2012.05.06,2012,USA,California
2012.04.19.b,2012,USA,Florida
2012.04.19.a,2012,SOUTH AFRICA,Western Cape Province
2012.04.11,2012,AUSTRALIA,South Australia
2012.04.03,2012,USA,Hawaii
2012.04.00,2012,USA,Florida
2012.03.31,2012,AUSTRALIA,Western Australia
2012.03.24,2012,USA,Florida
2012.03.22,2012,AUSTRALIA,Western Australia
2012.03.20,2012,AUSTRALIA,Queensland
2012.03.15,2012,USA,Florida
2012.03.14.b,2012,USA,Florida
2012.03.14.a,2012,USA,Florida
2012.03.06.b,2012,NEW ZEALAND,North Island
2012.03.06.a,2012,AUSTRALIA,Victoria
2012.03.05,2012,REUNION,Saint-Benoit
2012.03.04,2012,USA,Florida
2012.03.03,2012,SAUDI ARABIA,Tabuk Province
2012.03.01,2012,CHILE,Antofagasta Province
2012.02.26,2012,USA,Florida
2012.02.25,2012,AUSTRALIA,New South Wales
2012.02.20,2012,SOUTH AFRICA,Western Cape Province
2012.02.06,2012,AUSTRALIA,Queensland
2012.01.22.R,2012,BAHAMAS,
2012.01.27,2012,USA,Hawaii
2012.01.19,2012,AUSTRALIA,Western Australia
2012.01.18.b,2012,TAIWAN,Taitung 
2012.01.18.a,2012,AUSTRALIA,New South Wales
2012.01.15,2012,SOUTH AFRICA,Eastern Cape Province
2012.01.13,2012,USA,Oregon
2012.01.03,2012,AUSTRALIA,New South Wales
2012.01.02,2012,AUSTRALIA,Queensland
2011.12.31,2011,USA,Florida
2011.12.26.R,2011,ANTIGUA,St John's
2011.12.25,2011,ECUADOR,Santa Elena
2011.12.23,2011,USA,Florida
2011.12.21.b,2011,USA,Hawaii
2011.12.21.a,2011,SOUTH AFRICA,Eastern Cape Province
2011.12.11,2011,AUSTRALIA,New South Wales
2011.12.07.b,2011,SOUTH AFRICA,KwaZulu-Natal
2011.12.07.a,2011,AUSTRALIA,New South Wales
2011.12.06,2011,USA,Oregon
2011.12.05,2011,AUSTRALIA,Queensland
2011.12.02,2011,AUSTRALIA,New South Wales
2011.11.29,2011,INDONESIA,Bali
2011.11.28,2011,AUSTRALIA,Queensland
2011.11.22,2011,USA,California
2011.11.20.R,2011,PAPUA NEW GUINEA,East New Britain
2011.11.12,2011,BRAZIL,Pernambuco
2011.11.11,2011,REUNION,Bois-Blanc 
2011.10.29.,2011,USA,California
2011.10.28.R,2011,SCOTLAND,Moray
2011.10.28.,2011,SOUTH AFRICA,KwaZulu-Natal
2011.10.22,2011,AUSTRALIA,Western Australia
2011.10.20,2011,USA,Oregon
2011.10.19,2011,AUSTRALIA,Victoria
2011.10.11,2011,USA,Florida
2011.10.10,2011,USA,Oregon
2011.10.09,2011,AUSTRALIA,Western Australia
2011.10.05,2011,REUNION,
2011.10.02,2011,USA,Florida
2011.10.01,2011,USA,Alabama
2011.09.30,2011,USA,Puerto Rico
