Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
2015.10.08,08-Oct-15,2015,MOZAMBIQUE,Inhambane Province,N,Fishing,5861
2015.10.07,07-Oct-15,2015,AUSTRALIA,Western Australia,N,Surfing,5860
2015.10.05.b,05-Oct-15,2015,USA,Florida,N,Body boarding,5859
2015.10.05.a,05-Oct-15,2015,USA,Texas,N,Wading,5858
2015.10.04,04-Oct-15,2015,USA,Florida,N,Surfing,5857
2015.09.29,29-Sep-15,2015,USA,Florida,N,Surfing,5856
2015.09.26,26-Sep-15,2015,AUSTRALIA,Queensland,N,Snorkeling,5855
2015.09.24,24-Sep-15,2015,USA,California,N,Kayak fishing,5854
2015.09.20.d,20-Sep-15,2015,USA,Florida,N,Surfing,5853
2015.09.20.c,20-Sep-15,2015,USA,Hawaii,N,Spearfishing,5852
2015.09.20.b,20-Sep-15,2015,USA,Florida,N,Wading,5851
2015.09.20.a,20-Sep-15,2015,USA,Florida,N,Photographing fish,5850
2015.09.18,18-Sep-15,2015,USA,Florida,N,Swimming,5849
2015.09.17,17-Sep-15,2015,USA,Florida,N,Surfing,5848
2015.09.08,08-Sep-15,2015,AUSTRALIA,New South Wales,N,Surfing,5847
2015.09.06,06-Sep-15,2015,USA,California,N,Stand-Up Paddleboarding,5846
2015.09.05,05-Sep-15,2015,USA,California,N,Kayak Fishing,5845
2015.09.04,04-Sep-15,2015,AUSTRALIA,New South Wales,N,Surf-skiing,5844
2015.09.03,03-Sep-15,2015,USA,South Carolina,N,,5843
2015.09.01,01-Sep-15,2015,THAILAND,Phuket,N,Wading,5842
2015.09.00,Sep-15,2015,FIJI,,N,Spearfishing,5841
2015.08.29.b,29-Aug-15,2015,USA,California,N,Surfing,5840
2015.08.29.a,29-Aug-15,2015,USA,California,N,Surfing,5839
2015.08.22.b,22-Aug-15,2015,USA,Florida,N,,5838
2015.08.22.a,22-Aug-15,2015,AUSTRALIA,New South Wales,N,Surfing,5837
2015.08.20,20-Aug-15,2015,USA,South Carolina,N,Surfing,5836
2015.08.19,19-Aug-15,2015,USA,Florida,N,Walking,5835
2015.08.18.b,18-Aug-15,2015,USA,California,N,Kayak Fishing,5834
2015.08.18.a,18-Aug-15,2015,SPAIN,Alicante,N,Swimming,5833
2015.08.10,10-Aug-15,2015,USA,California,N,Spearfishing,5832
2015.07.31,31-Jul-15,2015,AUSTRALIA,New South Wales,N,Surfing,5831
2015.07.26.b,26-Jul-15,2015,USA,Florida,N,Surfing,5830
2015.07.26.a,26-Jul-15,2015,USA,South Carolina,N,Floating,5829
2015.07.25,25-Jul-15,2015,AUSTRALIA,Tasmania,Y,Scallop diving on hookah,5828
2015.07.23.b,23-Jul-15,2015,USA,California,N,Kayak Fishing,5827
2015.07.23.a,23-Jul-15,2015,AUSTRALIA,Victoria,N,Surfing,5826
2015.07.22,22-Jul-15,2015,REUNION,,N,Surfing,5825
2015.07.19,19-Jul-15,2015,SOUTH AFRICA,Eastern Cape Province,N,Surfing,5824
2015.07-10,10-Jul-15,2015,USA,California,N,Surfing,5823
2015.07.08,08-Jul-15,2015,USA,California,N,Treading water,5822
2015.07.06,06-Jul-15,2015,FRENCH POLYNESIA,Bora Bora,N,Swimming,5821
2015.07.04.b,04-Jul-15,2015,BAHAMAS,Grand Bahama Island,N,Spearfishing,5820
2015.07.04.a,04-Jul-15,2015,USA,North Carolina,N,,5819
2015.07.03,03-Jul-15,2015,AUSTRALIA,New South Wales,N,Surfing,5818
2015.07.02,02-Jul-15,2015,AUSTRALIA,New South Wales,N,Body boarding ,5817
2015.07.01,01-Jul-15,2015,USA,North Carolina,N,Swimming,5816
2015.06.30.b,30-Jun-15,2015,AUSTRALIA,New South Wales,N,Surfing,5815
2015.06.30.a,30-Jun-15,2015,USA,South Carolina,N,Playing in the water,5814
2015.06.27.b,27-Jun-15,2015,USA,North Carolina,N,Swimming,5813
2015.06.27.a,27-Jun-15,2015,SOUTH AFRICA,Western Cape Province,N,Body Boarding,5812
2015.06.26.c,26-Jun-15,2015,USA,Florida,N,Swimming,5811
2015.06.26.b,26-Jun-15,2015,SOUTH AFRICA,Western Cape Province,N,Surfing,5810
2015.06.26.a,26-Jun-15,2015,USA,South Carolina,N,Standing,5809
2015.06.25.R,Reported 25-Jun-2015,2015,AUSTRALIA,Western Australia,N,Swimming,5808
2015.06.25,25-Jun-15,2015,USA,North Carolina,N,Body surfing?,5807
2015.06.24.b,24-Jun-15,2015,USA,North Carolina,N,Swimming,5806
2015.06.24.a,24-Jun-15,2015,AUSTRALIA,Western Australia,N,Surfing,5805
2015.06.23,23-Jun-15,2015,USA,South Carolina,N,Standing,5804
2015.06.19,19-Jun-15,2015,PUERTO RICO,,N,Spearfishing,5803
2015.06.17,17-Jun-15,2015,USA,Florida,N,Swimming,5802
2015.06.14.b,14-Jun-15,2015,USA,North Carolina,N,Wading,5801
2015.06.14.a,14-Jun-15,2015,USA,North Carolina,N,Wading,5800
2015.06.13,13-Jun-15,2015,USA,California,N,,5799
2015.06.11,11-Jun-15,2015,USA,North Carolina,N,Boogie boarding,5798
2015.06.07,07-Jun-15,2015,USA,Florida,N,Playing,5797
2015.06.05,05-Jun-15,2015,USA,Florida,N,Attempting to rescue a shark,5796
2015.06.01,01-Jun-15,2015,REUNION,Le Port,N,Surfing,5795
2015.05.29.b,29-May-15,2015,USA,Florida,N,Standing,5794
2015.05.29.a,29-May-15,2015,USA,Florida,N,Wading,5793
2015.05.25,25-May-15,2015,FRENCH POLYNESIA,Rangiroa,N,Spearfishing,5792
2015.05.24,24-May-15,2015,USA,Florida,N,Swimming,5791
2015.05.20,20-May-15,2015,USA,Florida,N,Surfing,5790
2015.05.15,15-May-15,2015,USA,South Carolina,N,,5789
2015.05.09,09-May-15,2015,NEW CALEDONIA,,Y,Snorkeling,5788
2015.05.07,07-May-15,2015,USA,Florida,N,Swimming,5787
2015.05.03,03-May-15,2015,AUSTRALIA,New South Wales,N,Surfing,5786
2015.05.02,02-May-15,2015,SOUTH AFRICA,Eastern Cape Province,N,Diving,5785
2015.04.29,29-Apr-15,2015,USA,Hawaii,Y,Snorkeling,5784
2015.04.26,26-Apr-15,2015,USA,Florida,N,Wading,5783
2015.04.25,25-Apr-15,2015,AUSTRALIA,South Australia,N,Surfing,5782
2015.04.24.c,24-Jun-15,2015,AUSTRALIA,New South Wales,N,Surf skiing ,5781
2015.04.13,13-Apr-15,2015,USA,Florida,N,Photographing the shark,5780
2015.04.11,11-Apr-15,2015,AUSTRALIA,New South Wales,N,Paddle boarding,5779
2015.04.12,12-Apr-15,2015,REUNION,Saint-Gilles-les-Bains,Y,Surfing,5778
2015.03.31,31-Mar-15,2015,BRAZIL,Pernambuco,N,Surfing,5777
2015.04.03,03-Apr-15,2015,USA,Florida,N,Spearfishing,5776
2015.03.29,29-Mar-15,2015,ITALY,Sardinia,Y,Diving,5775
2015.03.26,26-Mar-15,2015,SOUTH AFRICA,Eastern Cape Province,N,Kayak Fishing,5774
2015.03.21,21-Mar-15,2015,EGYPT,,Y,Swimming,5773
2015.03.18,18-Mar-15,2015,USA,Hawaii,N,Standing / Snorkeling,5772
2015.03.16,16-Mar-15,2015,FRENCH POLYNESIA,Bora Bora,N,Hand feeding sharks,5771
2015.03.11,11-Mar-15,2015,AUSTRALIA,New South Wales,N,Fishing,5770
2015.03.10,10-Mar-15,2015,MEXICO,Sinaloa,N,Fishing,5769
2015.03.07,07-Mar-15,2015,FRENCH POLYNESIA,Central Tuamotu,N,Sitting in the water,5768
2015.02.15,15-Feb-15,2015,ATLANTIC OCEAN,,N,Transatlantic Rowing,5767
2015.02.14,14-Feb-15,2015,REUNION,dÉtang-Salé,Y,Swimming,5766
2015.02.09,09-Feb-15,2015,AUSTRALIA,New South Wales,Y,Surfing,5765
2015.02.08,08-Feb-15,2015,AUSTRALIA,New South Wales,N,Surfing,5764
2015.02.05,05-Feb-15,2015,AUSTRALIA,New South Wales,N,Bodysurfing,5763
2015.01.30,30-Jan-15,2015,AUSTRALIA,Queensland,N,Rowing,5762
2015.01.27,27-Jan-15,2015,USA,Hawaii,N,Shark fishing,5761
2015.01.24,24-Jan-15,2015,AUSTRALIA,New South Wales,N,Surfing,5760
2015.01.19.b,19-Jan-15,2015,USA,Florida,N,Fishing,5759
2015.01.19.a,19-Jan-15,2015,AUSTRALIA,New South Wales,N,Surfing & filming dolphins,5758
2015.01.17,17-Jan-15,2015,AUSTRALIA,New South Wales,N,Fishing,5757
2015.01.16,16-Jan-15,2015,AUSTRALIA,New South Wales,N,Filming,5756
2015.01.08,08-Jan-15,2015,USA,Florida,N,Swimming after falling overboard,5755
2015.01.06,06-Jan-15,2015,BAHAMAS,Abaco Islands,N,Snorkeling,5754
2015.01.03,03-Jan-15,2015,SOUTH AFRICA,Eastern Cape Province,N,Surfing,5753
2015.01.01,01-Jan-15,2015,USA,Florida,N,,5752
2014.12.29.b,29-Dec-14,2014,AUSTRALIA,New South Wales,N,Surfing,5751
2014.12.29.a,29-Dec-14,2014,AUSTRALIA,Western Australia,Y,Spearfishing,5750
2014.12.28.d,28-Dec-14,2014,GREECE,,N,,5749
2014.12.28.c,28-Dec-14,2014,SOUTH AFRICA,KwaZulu-Natal,N,Swimming,5748
2014.12.28.b,28-Dec-14,2014,USA,California,N,Surfing,5747
2014.12.28.a,28-Dec-14,2014,AUSTRALIA,Victoria,N,Fishing,5746
2014.12.23.R,Reported 23-Dec-2014,2014,JAPAN,,N,Diving / Filming,5745
2014.12.15,15-Dec-14,2014,AUSTRALIA,Queensland,Y,Spearfishing,5744
2014.12.03.R,Reported 03-Dec-2014,2014,SPAIN,Granada,N,Fishing for blue sharks,5743
2014.11.29,29-Nov-14,2014,AUSTRALIA,Western Australia,N,Surfing,5742
2014.11.20,20-Nov-14,2014,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Y,Fishing,5741
2014.11.19,19-Nov-14,2014,AUSTRALIA,Western Australia,N,Fishing,5740
2014.11.16,16-Nov-14,2014,USA,Florida,N,Surfing,5739
2014.11.17,Reported 17-Nov-2014,2014,USA,California,N,,5739
2014.11.13,13-Nov-14,2014,USA,Hawaii,N,Snorkeling,5738
2014.11.10,10-Nov-14,2014,AUSTRALIA,New South Wales,N,Surfing,5737
2014.11.08,08-Nov-14,2014,USA,Florida,N,Surfing,5736
2014.10.31,31-Oct-14,2014,USA,Hawaii,N,Surfing,5735
2014.10.30,29-Oct-14,2014,AUSTRALIA,New South Wales,N,Surfing,5734
2014.10.22,22-Oct-14,2014,USA,Hawaii,N,Stand-Up Paddleboarding,5733
2014.10.20,20-Oct-14,2014,USA,Hawaii,N,Stand-Up Paddleboarding,5732
2014.10.19,19-Oct-14,2014,USA,California,N,Canoeing,5731
2014.10.18,18-Oct-14,2014,USA,Hawaii,N,Surfing,5730
2014.10.17,17-Oct-14,2014,AUSTRALIA,New South Wales,N,Surfing,5729
2014.10.14,14-Oct-14,2014,USA,South Carolina,N,Standing in inner tube,5728
2014.10.12,12-Oct-14,2014,USA,Florida,N,Body surfing or Boogie boarding,5727
2014.10.07,07-Oct-14,2014,USA,Florida,N,Fishing,5726
2014.10.11,11-Oct-14,2014,AUSTRALIA,Western Australia,N,Kayaking,5725
2014.10.05.b,05-Oct-14,2014,USA,Florida,N,Surfing,5723
