,Case Number,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,pdf,href,original order
1134,2007.07.19.a,19-Jul-2007.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,Calf bitten,N,11h00,2007.07.19.a-Chapman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.a-Chapman.pdf,4859
1135,2007.07.18.b,18-Jul-07,2007,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,Right calf bitten,N,12h30,2007.07.18.b-MattBaker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.b-MattBaker.pdf,4858
1136,2007.07.18.a,18-Jul-07,2007,Provoked,NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,Unknown,2007.07.18.a-Ingelbretsen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.a-Ingelbretsen.pdf,4857
1137,2007.07.17.b,17-Jul-07,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,Foot injured. Shark involvment uncomfirmed,N,11h00,2007.07.17.b-SusanLevy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.b-SusanLevy.pdf,4856
1138,2007.07.17.a,17-Jul-07,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,Lacerations to right thigh & left foot,N,13h00,2007.07.17.a-NC.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.a-NC.pdf,4855
1139,2007.07.10,10-Jul-07,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00,2007.07.10-Regan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.10-Regan.pdf,4854
1140,2007.07.05,05-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Right foot bitten,N,16h00,2007.07.05-Cecil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.05-Cecil.pdf,4853
1141,2007.07.04,04-Jul-07,2007,Unprovoked,REUNION,,Boucan Canot,Body boarding,Minor injuries to thigh & knee ,N,14h30,2007.07.04-Bouju.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.04-Bouju.pdf,4852
1142,2007.07.00,Jul-07,2007,Invalid,SENEGAL,,,Murder,,UNKNOWN,Unknown,2007.07.00-Takyi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.00-Takyi.pdf,4851
1143,2007.06.30.b,30-Jun-07,2007,Provoked,USA,Florida,Marques Island,Removing hook from shark,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,Unknown,2007.06.30.b-Gruber.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.b-Gruber.pdf,4850
1144,2007.06.30.a,30-Jun-07,2007,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,Hand bitten,N,10h00,2007.06.30.a-Zinner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.a-Zinner.pdf,4849
1145,2007.06.25,25-Jun-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,6 to 8 puncture wounds to right hand,N,17h30,2007.06.25-JustinLewis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.25-JustinLewis.pdf,4848
1146,2007.06.24,24-Jun-07,2007,Unprovoked,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,"No injury, board damaged",N,07h05,2007.06.24-Yamada.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.24-Yamada.pdf,4847
