,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
12,2016.09.01,01-Sep-16,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf,5981
13,2016.08.29.b,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf,5980
14,2016.08.29.a,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf,5979
15,2016.08.27,27-Aug-16,2016,Unprovoked,REUNION,,Boucan Canot,Surfing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf,5978
16,2016.08.25,25-Aug-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf,5977
17,2016.08.07,07-Aug-16,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf,5976
18,2016.08.06,06-Aug-16,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,5975
19,2016.08.04,04-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf,5974
20,2016.07.29,29-Jul-16,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf,5973
21,2016.07.28.R,28-Jul-16,2016,Unprovoked,CHINA,Hong Kong,,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf,5972
22,2016.07.28,28-Jul-16,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf,5971
23,2016.07.27,27-Jul-16,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf,5970
24,2016.07.26,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf,5969
25,2016.07.24,24-Jul-16,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,N,19h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf,5968
26,2016.07.23.b,23-Jul-16,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf,5967
27,2016.07.23.a,23-Jul-16,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-Cutbirth.pdf,5966
28,2016.07.20,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,N,After noon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf,5965
29,2016.07.17,17-Jul-16,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf,5964
30,2016.07.16.b,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,1300,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf,5963
31,2016.07.16.a,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf,5962
32,2016.07.15,15-Jul-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf,5961
33,2016.07.14.4,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf,5960
34,2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf,5959
35,2016.07.08,08-Jul-16,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf,5958
36,2016.07.07.b,07-Jul-16,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf,5957
37,2016.07.07.a,07-Jul-16,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf,5956
38,2016.07.06,06-Jul-16,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,N,14h30 / 15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf,5955
39,2016.07.04,04-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,N,22h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf,5954
40,2016.06.27,27-Jun-16,2016,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,N,16h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf,5953
41,2016.06.25,25-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,N,14h34,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf,5952
42,2016.06.24,24-Jun-16,2016,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf,5951
43,2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf,5950
44,2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,N,15h25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf,5949
45,2016.06.21.a,21-Jun-16,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,N,14h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf,5948
46,2016.06.15.b,15-Jun-16,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,N,06h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf,5947
47,2016.06.15.a,15-Jun-16,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf,5946
48,2016.06.14,14-Jun-16,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf,5945
49,2016.06.11,11-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf,5944
50,2016.06.07,07-Jun-16,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf,5943
51,2016.06.05.b,05-Jun-16,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf,5942
52,2016.06.05.a,05-Jun-16,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,Y,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf,5941
53,2016.06.04,04-Jun-16,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf,5940
54,2016.06.02.b,02-Jun-16,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,Unknown,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf,5939
55,2016.06.02.a,02-Jun-16,2016,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",Kite surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf,5938
56,2016.05.31,31-May-16,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,Y,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf,5937
57,2016.05.29.b,29-May-16,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf,5936
58,2016.05.29.a,29-May-16,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,N,15h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf,5935
59,2016.05.22,22-May-16,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf,5934
60,2016.05.21.b,21-May-16,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf,5933
61,2016.05.21.a,21-May-16,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,N,17h46,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf,5932
62,2016.05.18,18-May-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,N,Morning ,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf,5931
63,2016.05.15,15-May-16,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,N,13h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf,5930
64,2016.05.03,03-May-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,N,15h49,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf,5929
65,2016.05.02,02-May-16,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf,5928
66,2016.04.25,25-Apr-16,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,N,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf,5927
67,2016.04.23,23-Apr-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf,5926
68,2016.04.22,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf,5925
69,2016.04.19,19-Apr-16,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf,5924
70,2016.04.18,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf,5923
71,2016.04.13,13-Apr-16,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf,5922
72,2016.04.09,09-Apr-16,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,Y,10h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf,5921
73,2016.04.08,08-Apr-16,2016,Invalid,CAPE VERDE,Boa Vista Island,,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf,5920
74,2016.04.07.b,07-Apr-16,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf,5919
75,2016.04.07.a,07-Apr-16,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf,5918
76,2016.03.31,31-Mar-16,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf,5917
77,2016.03.30,30-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,N,19h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf,5916
78,2016.03.28.b,28-Mar-16,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf,5915
79,2016.03.28.a,28-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf,5914
80,2016.03.26,26-Mar-16,2016,Provoked,BAHAMAS,,,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf,5913
81,2016.03.13,13-Mar-16,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf,5912
82,2016.03.11,11-Mar-16,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf,5911
83,2016.03.10,10-Mar-16,2016,Unprovoked,Fiji,Vanua Levu,,Diving for beche-de-mer,Y,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf,5910
84,2016.03.04,04-Mar-16,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf,5909
85,2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,N,Midnight,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf,5908
86,2016.03.02,02-Mar-16,2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf,5907
87,2016.02.22,22-Feb-16,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,N,19h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf,5906
88,2016.02.19, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf,5905
89,2016.02.12,12-Feb-16,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf,5904
90,2016.02.10.R,Reported 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf,5903
91,2016.02.10,10-Feb-16,2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf,5902
92,2016.02.05,05-Feb-16,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,N,13h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf,5901
93,2016.02.04,04-Feb-16,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf,5900
94,2016.01.29,29-Jan-16,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,,Kayak fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf,5899
95,2016.01.28,28-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf,5898
96,2016.01.25,25-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf,5897
97,2016.01.24.b,24-Jan-16,2016,Unprovoked,USA,Texas,Off Surfside,Spearfishing,N,09h30 / 10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-Love.pdf,5896
98,2016.01.24.a,24-Jan-16,2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf,5895
99,2016.01.23,23-Jan-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf,5894
100,2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf,5893
101,2016.01.05,05-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf,5892
102,2016.01.02,02-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-Countryman.pdf,5891
103,2015.12.26,26-Dec-15,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-Wardell.pdf,5890
104,2015.12.25,25-Dec-15,2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-GrandCanary.pdf,5889
105,2015.12.22,22-Dec-15,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf,5888
106,2015.12.21.b,21-Dec-15,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,N,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-Norburn.pdf,5887
107,2015.12.21.a,21-Dec-15,2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Scuba diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.a-Brazil.pdf,5886
108,2015.12.19,19-Dec-15,2015,Unprovoked,ARUBA,,Boat capsized,Sea disaster,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-Aruba.pdf,5885
109,2015.12.13,13-Dec-15,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-Crust-Boat.pdf,5884
110,2015.12.11,11-Dec-15,2015,Unprovoked,BAHAMAS,,Off Andros Island,Lobster fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-Pinder.pdf,5883
111,2015.12.08,08-Dec-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-Scott.pdf,5882
112,2015.11.16,16-Nov-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf,5880
113,2015.11.15.b,15-Nov-15,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-PalmBeach.pdf,5879
114,2015.11.15.a,15-Nov-15,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.a-Engelman.pdf,5878
115,2015.11.10,10-Nov-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,N,18h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-Morgan.pdf,5877
116,2015.12.23,07-Nov-15,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.07-Underwood.pdf,5876
117,2015.11.03,03-Nov-15,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf,5875
118,2015.11.01.b,01-Nov-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf,5874
119,2015.11.01.a,01-Nov-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,N,04h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-Ernesto.pdf,5873
120,2015.10.30,30-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-Galli.pdf,5872
121,2015.10.28.a,28-Oct-15,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,N,14h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.28-Senensi.pdf,5871
122,2015.10.25,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-Anderson.pdf,5870
123,2015.10.21,21-Oct-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf,5869
124,2015.10.19,19-Oct-15,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,N,13h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf,5868
125,2015.10.17.c,17-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf,5867
126,2015.10.17.b,17-Oct-15,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,N,19h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf,5866
127,2015.10.17.a,17-Oct-15,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf,5865
128,2015.10.13,13-Oct-15,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf,5864
129,2015.10.09.b,09-Oct-15,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,N,16h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf,5863
130,2015.10.09.a,09-Oct-15,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,N,10h25,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf,5862
131,2015.10.08,08-Oct-15,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf,5861
132,2015.10.07,07-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,N,16h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf,5860
133,2015.10.05.b,05-Oct-15,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf,5859
134,2015.10.05.a,05-Oct-15,2015,Unprovoked,USA,Texas,Galveston,Wading,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.a-Slaughter.pdf,5858
135,2015.10.04,04-Oct-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf,5857
136,2015.09.29,29-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,N,16h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf,5856
137,2015.09.26,26-Sep-15,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf,5855
