,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
737,2010.12.05,05-Dec-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,Y,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.05-Renate- Seiffert.pdf,5256
738,2010.12.03.R,Reported 03-Dec-2010,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.03.R-Ong.pdf,5255
739,2010.12.01.b,01-Dec-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.01.b-Yevgeniy-Trishkin.pdf,5254
740,2010.12.01.a,01-Dec-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,N,10h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.01.a-Viktor-Koliy.pdf,5253
741,2010.11.30.b,30-Nov-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,N,14h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.30.b-Lyudmila-Stolyarova.pdf,5252
742,2010.11.30.a,30-Nov-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,N,14h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.30.a-Olga Marsyenko.pdf,5251
743,2010.11.27.R,Reported 27-Nov-2010,2010,Unprovoked,SAMOA,,,Fishing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.27.R-Samoa.pdf,5250
744,2010.11.27,27-Nov-10,2010,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.27.a-Utley.pdf,5249
745,2010.11.19,19-Nov-10,2010,Provoked,USA,Palmyra Atoll,,Snorkeling,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.19-Pollock.pdf,5248
746,2010.11.15,15-Nov-10,2010,Unprovoked,DOMINICAN REPUBLIC,,Boca Chica,Diving,Y,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.15-Zapata.pdf,5247
747,2010.11.14,14-Nov-10,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.14-Bali.pdf,5246
