Year,Type,Country,Area,Location,Activity,Sex,Fatal
2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,N
2015,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,N
2015,Unprovoked,NEW CALEDONIA,Unknown,Kouare ,Snorkeling,M,Y
2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,N
2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,N
2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,Y
2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Bathing,M,N
2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surfing,M,N
2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Other,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Boarding,M,N
2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,Y
2015,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,N
2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Fishing,M,N
2015,Invalid,ITALY,Sardinia,Unknown,Diving,M,Y
2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Fishing,M,N
2015,Unprovoked,EGYPT,Unknown,Marsa Alam,Swimming,M,Y
2015,Unprovoked,USA,Hawaii,Hapuna Beach,Bathing,M,N
2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Other,M,N
2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,N
2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,N
2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Other,M,N
2015,Boat,ATLANTIC OCEAN,Unknown,Unknown,Canoeing,Unknown,N
2015,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Swimming,F,Y
2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,Y
2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Surfing,M,N
2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Canoeing,M,N
2015,Provoked,USA,Hawaii,Lahaina,Fishing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,N
2015,Boat,USA,Florida,Off Panama City,Fishing,M,N
2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,F,N
2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Other,M,N
2015,Invalid,USA,Florida,Unknown,Swimming,M,N
