Year,Month,Type,Fatal,Sex,Country,Case Number,Decade
1964,1,Unprovoked,N,M,SOUTH AFRICA,1964.01.22,Años 60
1964,1,Unprovoked,N,M,SOUTH AFRICA,1964.01.23,Años 60
1964,1,Unprovoked,Y,UNKNOWN,FIJI,1964.01.27,Años 60
1964,2,Unprovoked,Y,M,COSTA RICA,1964.02.00.a,Años 60
1964,2,Unprovoked,N,M,USA,1964.02.00.b,Años 60
1964,2,Boat,N,UNKNOWN,NEW ZEALAND,1964.02.01,Años 60
1964,1,Unprovoked,Y,M,PAPUA NEW GUINEA,1964.01.06.R,Años 60
1964,2,Unprovoked,N,M,NEW ZEALAND,1964.02.05.b,Años 60
1964,2,Unprovoked,Y,M,NEW ZEALAND,1964.02.05.a,Años 60
1964,5,Unprovoked,Y,M,PANAMA,1964.05.00,Años 60
1964,4,Unprovoked,Y,M,PAPUA NEW GUINEA,1964.04.07,Años 60
1964,3,Sea Disaster,Y,M,PAPUA NEW GUINEA,1964.03.28.a,Años 60
1964,3,Unprovoked,N,M,USA,1964.03.05,Años 60
1964,3,Unprovoked,N,M,SENEGAL,1964.03.00,Años 60
1964,3,Unprovoked,N,M,AUSTRALIA,1964.03.28.b,Años 60
1964,2,Unprovoked,Y,M,NEW CALEDONIA,1964.02.14.b,Años 60
1964,2,Unprovoked,Y,M,FIJI,1964.02.14.a,Años 60
1964,2,Unprovoked,N,M,NEW ZEALAND,1964.02.11,Años 60
1964,2,Unprovoked,N,M,NEW ZEALAND,1964.02.10,Años 60
1964,2,Unprovoked,N,M,SOUTH AFRICA,1964.02.08,Años 60
1965,9,Provoked,N,M,PAPUA NEW GUINEA,1965.09.21,Años 60
1965,7,Boat,N,UNKNOWN,BERMUDA,1965.07.02.R,Años 60
1965,7,Unprovoked,Y,M,MEXICO,1965.07.26,Años 60
1965,7,Provoked,N,M,BAHAMAS,1965.07.30,Años 60
1965,8,Unprovoked,N,M,USA,1965.08.26,Años 60
1965,9,Unprovoked,N,M,MEXICO,1965.09.08,Años 60
1965,9,Provoked,N,M,PAPUA NEW GUINEA,1965.09.12,Años 60
1965,6,Unprovoked,N,M,MEXICO,1965.06.09,Años 60
1965,10,Unprovoked,N,M,PAPUA NEW GUINEA,1965.10.00,Años 60
1965,11,Unprovoked,N,M,PACIFIC OCEAN,1965.11.21.a,Años 60
1965,10,Unprovoked,Y,F,BAHAMAS,1965.10.16.a,Años 60
1965,10,Unprovoked,N,M,BAHAMAS,1965.10.16.b,Años 60
1965,10,Unprovoked,N,M,OTRO,1965.10.21,Años 60
1965,11,Unprovoked,N,M,AUSTRALIA,1965.11.03.a,Años 60
1965,11,Provoked,Y,M,AUSTRALIA,1965.11.21.b,Años 60
1965,12,Boat,N,UNKNOWN,AUSTRALIA,1965.12.10,Años 60
1965,12,Unprovoked,N,M,JOHNSTON ISLAND,1965.12.19,Años 60
1965,12,Unprovoked,N,M,AUSTRALIA,1965.12.28,Años 60
1965,6,Unprovoked,N,M,PAPUA NEW GUINEA,1965.06.00.b,Años 60
1965,10,Unprovoked,Y,M,NEW BRITAIN,1965.10.10,Años 60
1965,6,Unprovoked,Y,M,SOUTH PACIFIC OCEAN,1965.06.00,Años 60
1965,2,Unprovoked,N,M,USA,1965.02.04,Años 60
1965,5,Unprovoked,Y,M,MEXICO,1965.05.28,Años 60
1965,6,Unprovoked,Y,M,VANUATU,1965.00.00.b,Años 60
1965,6,Unprovoked,N,M,EGYPT,1965.00.00.c,Años 60
1965,6,Unprovoked,N,M,RED SEA,1965.00.00.d,Años 60
1965,6,Provoked,N,M,USA,1965.00.00.e,Años 60
1965,6,Provoked,N,M,USA,1965.00.00.f,Años 60
1965,6,Unprovoked,N,M,USA,1965.00.00.g,Años 60
1965,1,Unprovoked,Y,M,NEW GUINEA,1965.01.09,Años 60
1965,1,Unprovoked,N,M,AUSTRALIA,1965.01.10,Años 60
1965,1,Unprovoked,N,M,SOUTH AFRICA,1965.01.16,Años 60
1965,1,Unprovoked,N,M,SOUTH AFRICA,1965.01.23,Años 60
1965,5,Unprovoked,Y,M,MEXICO,1965.05.29,Años 60
1965,2,Unprovoked,N,M,SOUTH AFRICA,1965.02.14,Años 60
1965,3,Unprovoked,N,M,USA,1965.03.14,Años 60
1965,4,Unprovoked,N,M,USA,1965.04.04.a,Años 60
1965,4,Unprovoked,N,M,PALAU,1965.04.04.b,Años 60
1965,4,Unprovoked,N,M,USA,1965.04.10,Años 60
1965,4,Unprovoked,N,M,USA,1965.04.29,Años 60
1965,5,Unprovoked,N,M,MEXICO,1965.05.00.a,Años 60
1965,5,Unprovoked,N,M,JAMAICA,1965.05.00.b,Años 60
1965,5,Unprovoked,N,M,EGYPT,1965.05.00.c,Años 60
1966,8,Unprovoked,N,F,BAHAMAS,1966.08.27.a,Años 60
1966,8,Unprovoked,Y,F,NEW BRITAIN,1966.08.21.b,Años 60
1966,8,Unprovoked,Y,F,NEW BRITAIN,1966.08.21.a,Años 60
1966,8,Unprovoked,Y,M,CROATIA,1966.08.16,Años 60
1966,7,Provoked,N,M,USA,1966.07.19,Años 60
1966,8,Unprovoked,N,M,ITALY,1966.08.13,Años 60
1966,8,Unprovoked,N,M,USA,1966.08.00.a,Años 60
1966,7,Unprovoked,N,M,USA,1966.07.31,Años 60
1966,8,Boat,N,M,AUSTRALIA,1966.08.28,Años 60
1966,8,Unprovoked,N,M,TAIWAN,1966.08.14,Años 60
1966,9,Provoked,N,M,USA,1966.09.08.b,Años 60
1966,10,Unprovoked,Y,F,PAPUA NEW GUINEA,1966.10.29,Años 60
1966,9,Provoked,UNKNOWN,M,AUSTRALIA,1966.09.13,Años 60
1966,9,Provoked,N,M,USA,1966.09.19,Años 60
1966,9,Unprovoked,N,M,AUSTRALIA,1966.09.27,Años 60
1966,12,Unprovoked,N,M,AUSTRALIA,1966.12.31,Años 60
1966,10,Unprovoked,Y,F,PAPUA NEW GUINEA,1966.10.30,Años 60
1966,11,Unprovoked,Y,F,PAPUA NEW GUINEA,1966.11.00,Años 60
1966,11,Unprovoked,UNKNOWN,UNKNOWN,THAILAND,1966.11.14,Años 60
1966,12,Unprovoked,N,M,AUSTRALIA,1966.12.26,Años 60
1966,12,Unprovoked,N,M,SINGAPORE,1966.12.26,Años 60
1966,7,Unprovoked,N,M,USA,1966.07.17.b,Años 60
1966,12,Provoked,N,M,AUSTRALIA,1966.12.27.b,Años 60
1966,9,Unprovoked,N,M,AUSTRALIA,1966.09.10,Años 60
1966,12,Unprovoked,N,M,AUSTRALIA,1966.12.27.a,Años 60
1966,7,Unprovoked,Y,M,TAIWAN,1966.07.17.a,Años 60
1966,7,Boat,N,UNKNOWN,CARIBBEAN SEA,1966.07.02,Años 60
1966,1,Unprovoked,N,M,USA,1966.01.05,Años 60
1966,7,Unprovoked,Y,F,PAPUA NEW GUINEA,1966.07.14,Años 60
1966,1,Unprovoked,N,M,SOUTH AFRICA,1966.01.09,Años 60
1966,1,Unprovoked,N,M,AUSTRALIA,1966.01.10,Años 60
1966,1,Unprovoked,N,M,SOUTH AFRICA,1966.01.11,Años 60
1966,1,Sea Disaster,Y,UNKNOWN,COLUMBIA,1966.01.14,Años 60
1966,1,Unprovoked,N,M,AUSTRALIA,1966.01.15,Años 60
1966,1,Unprovoked,N,M,USA,1966.01.22,Años 60
1966,1,Sea Disaster,Y,UNKNOWN,INDONESIA,1966.01.25,Años 60
1966,1,Provoked,N,M,SOUTH AFRICA,1966.01.29,Años 60
1966,2,Unprovoked,N,M,AUSTRALIA,1966.02.27,Años 60
1966,1,Unprovoked,Y,F,NEW ZEALAND,1966.01.08,Años 60
1966,3,Provoked,N,UNKNOWN,AUSTRALIA,1966.03.20,Años 60
1966,3,Sea Disaster,Y,M,SUDAN,1966.03.12,Años 60
1966,6,Provoked,N,M,USA,1966.06.11,Años 60
1966,6,Unprovoked,N,M,USA,1966.06.04,Años 60
1966,6,Provoked,N,M,FRENCH POLYNESIA,1966.06.02,Años 60
1966,5,Sea Disaster,Y,M,AUSTRALIA,1966.05.20.c,Años 60
1966,6,Provoked,N,M,USA,1966.06.22,Años 60
1966,5,Sea Disaster,Y,M,AUSTRALIA,1966.05.20.a,Años 60
1966,5,Sea Disaster,Y,M,PHILIPPINES,1966.05.16.a,Años 60
1966,4,Unprovoked,N,M,USA,1966.04.08,Años 60
1966,4,Sea Disaster,N,M,AUSTRALIA,1966.04.00,Años 60
1966,5,Unprovoked,N,M,AUSTRALIA,1966.05.20.b,Años 60
1967,9,Provoked,UNKNOWN,M,ITALY,1967.09.13,Años 60
1967,8,Unprovoked,N,M,ITALY,1967.08.25,Años 60
1967,8,Unprovoked,Y,M,JAPAN,1967.08.26,Años 60
1967,8,Provoked,N,M,USA,1967.08.27,Años 60
1967,9,Unprovoked,Y,M,PAPUA NEW GUINEA,1967.09.01,Años 60
1967,9,Unprovoked,Y,M,PAPUA NEW GUINEA,1967.09.06,Años 60
1967,9,Unprovoked,N,UNKNOWN,USA,1967.09.07.a,Años 60
1967,9,Provoked,UNKNOWN,UNKNOWN,PAPUA NEW GUINEA,1967.09.07.b,Años 60
1967,10,Unprovoked,N,M,TONGA,1967.10.00,Años 60
1967,11,Provoked,N,M,AUSTRALIA,1967.11.30.b,Años 60
1967,10,Unprovoked,Y,UNKNOWN,MEXICO,1967.10.26.R,Años 60
1967,11,Sea Disaster,Y,UNKNOWN,PHILIPPINES,1967.11.04,Años 60
1967,11,Provoked,N,M,FIJI,1967.11.15,Años 60
1967,11,Unprovoked,N,M,AUSTRALIA,1967.11.30.a,Años 60
1967,12,Provoked,N,M,USA,1967.12.14,Años 60
1967,12,Unprovoked,Y,M,AUSTRALIA,1967.12.17,Años 60
1967,12,Unprovoked,N,M,FIJI,1967.12.18,Años 60
1967,12,Unprovoked,N,M,SOUTH AFRICA,1967.12.30,Años 60
1967,8,Unprovoked,Y,M,AUSTRALIA,1967.08.19,Años 60
1967,10,Unprovoked,N,M,USA,1967.10.17,Años 60
1967,8,Unprovoked,N,F,BERMUDA,1967.08.15,Años 60
1967,7,Unprovoked,Y,M,TURKEY,1967.07.05,Años 60
1967,8,Unprovoked,N,M,USA,1967.08.07,Años 60
1967,1,Provoked,N,M,AUSTRALIA,1967.01.06,Años 60
1967,1,Provoked,N,M,SOUTH AFRICA,1967.01.22,Años 60
1967,1,Boat,N,UNKNOWN,SOUTH AFRICA,1967.01.27,Años 60
1967,2,Sea Disaster,Y,M,MEXICO,1967.02.06,Años 60
1967,3,Unprovoked,N,M,PAPUA NEW GUINEA,1967.03.01,Años 60
1967,3,Unprovoked,Y,M,NEW ZEALAND,1967.03.09,Años 60
1967,3,Provoked,N,M,AUSTRALIA,1967.03.12,Años 60
1967,3,Unprovoked,N,M,SOUTH AFRICA,1967.03.19,Años 60
1967,3,Provoked,N,M,NEW ZEALAND,1967.03.20,Años 60
1967,1,Unprovoked,N,M,MOZAMBIQUE,1967.01.21,Años 60
1967,5,Provoked,N,M,AUSTRALIA,1967.05.09,Años 60
1967,4,Provoked,N,M,UNITED KINGDOM,1967.04.00,Años 60
1967,8,Unprovoked,N,M,SENEGAL,1967.08.00.a,Años 60
1967,7,Unprovoked,N,M,USA,1967.07.29,Años 60
1967,8,Unprovoked,N,M,BAHAMAS,1967.08.00.b,Años 60
1967,6,Provoked,N,M,USA,1967.06.13,Años 60
1967,6,Provoked,N,M,ITALY,1967.06.00,Años 60
1967,5,Provoked,N,M,AUSTRALIA,1967.05.13,Años 60
1967,8,Unprovoked,N,M,COLUMBIA,1967.08.14.R,Años 60
1968,7,Unprovoked,N,M,USA,1968.07.23,Años 60
1968,8,Unprovoked,N,UNKNOWN,USA,1968.08.24,Años 60
1968,7,Unprovoked,N,M,USA,1968.07.27,Años 60
1968,8,Unprovoked,N,M,COLUMBIA,1968.08.08,Años 60
1968,8,Unprovoked,N,UNKNOWN,MALAYSIA,1968.08.11,Años 60
1968,8,Unprovoked,N,M,FRENCH POLYNESIA,1968.08.13,Años 60
1968,8,Unprovoked,N,M,USA,1968.08.21,Años 60
1968,9,Unprovoked,Y,M,NEW ZEALAND,1968.09.15,Años 60
1968,11,Boat,N,M,SOUTH AFRICA,1968.11.06,Años 60
1968,10,Unprovoked,N,M,USA,1968.10.13,Años 60
1968,10,Provoked,N,M,BAHAMAS,1968.10.29,Años 60
1968,12,Unprovoked,N,M,SOUTH AFRICA,1968.12.02,Años 60
1968,12,Unprovoked,N,M,AUSTRALIA,1968.12.09,Años 60
1968,12,Unprovoked,N,M,NEW ZEALAND,1968.12.25,Años 60
1968,12,Provoked,N,M,AUSTRALIA,1968.12.26,Años 60
1968,7,Unprovoked,N,M,USA,1968.07.16,Años 60
1968,10,Sea Disaster,N,UNKNOWN,PHILIPPINES,1968.10.10,Años 60
1968,7,Unprovoked,Y,M,BAHAMAS,1968.07.10,Años 60
1968,11,Provoked,N,M,AUSTRALIA,1968.11.02,Años 60
1968,6,Unprovoked,N,M,USA,1968.06.09,Años 60
1968,6,Unprovoked,Y,M,COSTA RICA,1968.00.00.c,Años 60
1968,1,Unprovoked,Y,UNKNOWN,PAPUA NEW GUINEA,1968.01.17,Años 60
1968,6,Unprovoked,N,M,BAHAMAS,1968.06.25,Años 60
1968,2,Unprovoked,N,UNKNOWN,AUSTRALIA,1968.02.02,Años 60
1968,2,Unprovoked,N,M,AUSTRALIA,1968.02.04,Años 60
1968,2,Provoked,N,F,NEW ZEALAND,1968.02.18,Años 60
1968,2,Unprovoked,N,F,AUSTRALIA,1968.02.20,Años 60
1968,2,Unprovoked,N,M,USA,1968.02.26,Años 60
1968,2,Unprovoked,N,UNKNOWN,MOZAMBIQUE,1968.02.00,Años 60
1968,3,Unprovoked,N,M,SOUTH AFRICA,1968.03.25,Años 60
1968,4,Provoked,N,M,AUSTRALIA,1968.04.07,Años 60
1968,4,Unprovoked,Y,M,PAPUA NEW GUINEA,1968.04.11.R,Años 60
1968,4,Unprovoked,N,M,AUSTRALIA,1968.04.15,Años 60
1968,4,Unprovoked,N,M,USA,1968.04.20,Años 60
1968,5,Unprovoked,N,M,PAPUA NEW GUINEA,1968.05.00,Años 60
1968,6,Unprovoked,N,M,ENGLAND,1968.06.00,Años 60
1968,3,Unprovoked,N,M,USA,1968.03.10,Años 60
1969,7,Provoked,N,M,USA,1969.07.22,Años 60
1969,7,Provoked,N,M,ENGLAND,1969.07.27,Años 60
1969,8,Unprovoked,N,M,OTRO,1969.08.00,Años 60
1969,8,Unprovoked,N,M,USA,1969.08.01,Años 60
1969,8,Unprovoked,N,M,USA,1969.08.02,Años 60
1969,10,Unprovoked,N,M,USA,1969.10.14,Años 60
1969,8,Unprovoked,N,M,USA,1969.08.29,Años 60
1969,9,Unprovoked,N,M,USA,1969.09.06,Años 60
1969,11,Provoked,N,M,AUSTRALIA,1969.11.05,Años 60
1969,11,Unprovoked,N,M,USA,1969.11.11,Años 60
1969,11,Unprovoked,N,M,AUSTRALIA,1969.11.30,Años 60
1969,8,Provoked,N,M,USA,1969.08.22,Años 60
1969,6,Unprovoked,UNKNOWN,M,USA,1969.06.27,Años 60
1969,7,Unprovoked,N,M,USA,1969.07.20,Años 60
1969,6,Unprovoked,N,M,USA,1969.06.00,Años 60
1969,6,Unprovoked,N,M,JAMAICA,1969.06.12,Años 60
1969,6,Provoked,N,UNKNOWN,BAHAMAS,1969.00.00,Años 60
1969,1,Unprovoked,N,M,AUSTRALIA,1969.01.27,Años 60
1969,2,Provoked,N,M,AUSTRALIA,1969.02.17.R,Años 60
1969,3,Unprovoked,N,M,USA,1969.03.09,Años 60
1969,1,Unprovoked,N,M,AUSTRALIA,1969.01.00,Años 60
1969,4,Provoked,N,M,USA,1969.04.19,Años 60
1969,5,Unprovoked,N,UNKNOWN,AUSTRALIA,1969.05.14,Años 60
1969,5,Unprovoked,UNKNOWN,M,DOMINICAN REPUBLIC,1969.05.22,Años 60
1969,5,Provoked,N,M,USA,1969.05.24,Años 60
1969,5,Provoked,N,M,USA,1969.05.25,Años 60
1969,3,Provoked,N,M,AUSTRALIA,1969.03.25,Años 60
1970,9,Unprovoked,N,M,USA,1970.09.00.c,Años 60
1970,6,Unprovoked,Y,M,GRENADA,1970.06.13.a,Años 60
1970,6,Unprovoked,Y,M,GRENADA,1970.06.13.b,Años 60
1970,6,Provoked,N,M,SOUTH AFRICA,1970.06.15,Años 60
1970,12,Unprovoked,Y,M,MOZAMBIQUE,1970.12.17,Años 60
1970,6,Provoked,N,M,USA,1970.06.22,Años 60
1970,7,Unprovoked,N,M,OTRO,1970.07.05,Años 60
1970,9,Unprovoked,N,M,USA,1970.09.00.a,Años 60
1970,9,Provoked,N,M,AUSTRALIA,1970.09.02,Años 60
1970,11,Unprovoked,N,M,OTRO,1970.11.00,Años 60
1970,9,Provoked,N,M,PALAU,1970.09.13,Años 60
1970,9,Unprovoked,N,M,MICRONESIA,1970.09.28,Años 60
1970,10,Unprovoked,N,M,USA,1970.10.00,Años 60
1970,10,Unprovoked,N,M,USA,1970.10.24,Años 60
1970,12,Sea Disaster,N,M,USA,1970.12.03,Años 60
1970,12,Unprovoked,N,M,MICRONESIA,1970.12.07,Años 60
1970,12,Unprovoked,Y,M,MOZAMBIQUE,1970.12.13,Años 60
1970,6,Sea Disaster,Y,UNKNOWN,PHILIPPINES,1970.06.00,Años 60
1970,9,Unprovoked,N,M,USA,1970.09.05,Años 60
1970,4,Unprovoked,Y,M,GRENADA,1970.04.04,Años 60
1970,1,Unprovoked,N,M,MOZAMBIQUE,1970.01.23.c,Años 60
1970,4,Unprovoked,UNKNOWN,M,SOLOMON ISLANDS,1970.04.00.a,Años 60
1970,4,Provoked,N,M,OTRO,1970.04.00.b,Años 60
1970,6,Unprovoked,N,M,IRAQ,1970.00.00.a,Años 60
1970,6,Unprovoked,Y,M,IRAQ,1970.00.00.b,Años 60
1970,6,Unprovoked,N,F,IRAQ,1970.00.00.d,Años 60
1970,6,Unprovoked,UNKNOWN,M,CROATIA,1970.00.00.e,Años 60
1970,6,Boat,N,M,ITALY,1970.00.00.f,Años 60
1970,6,Unprovoked,N,M,SPAIN,1970.00.00.g,Años 60
1970,6,Unprovoked,N,M,SRI LANKA,1970.00.00.h,Años 60
1970,6,Unprovoked,N,F,IRAQ,1970.00.00.c,Años 60
1970,1,Unprovoked,N,M,ENGLAND,1970.01.09.R,Años 60
1970,1,Unprovoked,N,M,MEXICO,1970.01.10,Años 60
1970,1,Sea Disaster,Y,M,EGYPT,1970.01.16,Años 60
1970,1,Unprovoked,N,M,MOZAMBIQUE,1970.01.23.a,Años 60
1970,1,Unprovoked,N,M,MOZAMBIQUE,1970.01.23.b,Años 60
1970,1,Unprovoked,N,M,MOZAMBIQUE,1970.01.23.d,Años 60
1970,2,Unprovoked,N,F,OTRO,1970.02.05,Años 60
1970,3,Unprovoked,N,M,USA,1970.03.23,Años 60
1970,1,Unprovoked,N,M,PAPUA NEW GUINEA,1970.01.00,Años 60
1971,9,Unprovoked,Y,M,AUSTRALIA,1971.09.05,Años 70
1971,9,Unprovoked,Y,M,CROATIA,1971.09.07,Años 70
1971,9,Unprovoked,N,UNKNOWN,USA,1971.09.25,Años 70
1971,10,Unprovoked,N,M,USA,1971.10.02,Años 70
1971,10,Unprovoked,N,M,SOUTH AFRICA,1971.10.14,Años 70
1971,12,Unprovoked,N,F,SOUTH AFRICA,1971.12.16,Años 70
1971,11,Provoked,N,UNKNOWN,AUSTRALIA,1971.11.25.R,Años 70
1971,11,Unprovoked,N,M,HONG KONG,1971.11.27,Años 70
1971,12,Unprovoked,Y,M,AUSTRALIA,1971.12.05,Años 70
1971,12,Unprovoked,N,UNKNOWN,AUSTRALIA,1971.12.23,Años 70
1971,8,Provoked,N,M,AUSTRALIA,1971.08.21,Años 70
1971,10,Unprovoked,N,M,USA,1971.10.23,Años 70
1971,7,Unprovoked,N,M,USA,1971.07.26,Años 70
1971,6,Unprovoked,N,M,SOUTH AFRICA,1971.06.30,Años 70
1971,6,Unprovoked,N,M,AUSTRALIA,1971.00.00.c,Años 70
1971,6,Unprovoked,N,M,BRITISH ISLES,1971.06.01,Años 70
1971,4,Unprovoked,N,M,KENYA,1971.04.16R,Años 70
1971,4,Unprovoked,Y,M,SOUTH AFRICA,1971.04.11,Años 70
1971,4,Unprovoked,Y,M,MEXICO,1971.04.06,Años 70
1971,4,Unprovoked,Y,M,VENEZUELA,1971.04.05.b,Años 70
1971,4,Unprovoked,Y,M,VENEZUELA,1971.04.05.a,Años 70
1971,4,Sea Disaster,Y,UNKNOWN,MOZAMBIQUE,1971.04.00,Años 70
1971,3,Unprovoked,N,M,NEW ZEALAND,1971.03.30,Años 70
1971,1,Unprovoked,N,M,AUSTRALIA,1971.01.02,Años 70
1971,6,Unprovoked,N,M,IRAN,1971.00.00.b,Años 70
1971,6,Unprovoked,N,M,IRAN,1971.00.00.a,Años 70
1971,7,Unprovoked,N,M,TURKEY,1961.07.16,Años 70
1971,7,Unprovoked,N,M,USA,1971.07.19,Años 70
1972,10,Unprovoked,N,M,USA,1972.10.14.a,Años 70
1972,10,Unprovoked,N,M,NEW ZEALAND,1972.10.10.R,Años 70
1972,8,Unprovoked,N,M,USA,1972.08.17,Años 70
1972,8,Unprovoked,N,M,USA,1972.08.29,Años 70
1972,10,Unprovoked,Y,M,USA,1972.10.14.b,Años 70
1972,9,Unprovoked,N,M,USA,1972.09.09,Años 70
1972,10,Unprovoked,N,M,AUSTRALIA,1972.10.21,Años 70
1972,12,Unprovoked,N,M,SOUTH AFRICA,1972.12.31,Años 70
1972,12,Unprovoked,Y,UNKNOWN,REUNION,1972.12.01,Años 70
1972,12,Provoked,N,UNKNOWN,AUSTRALIA,1972.12.08,Años 70
1972,12,Unprovoked,N,M,AUSTRALIA,1972.12.22,Años 70
1972,12,Unprovoked,N,M,SOUTH AFRICA,1972.12.24,Años 70
1972,12,Unprovoked,Y,M,MEXICO,1972.12.25,Años 70
1972,12,Unprovoked,N,M,MOZAMBIQUE,1972.12.26,Años 70
1972,10,Unprovoked,N,M,AUSTRALIA,1972.10.22,Años 70
1972,8,Unprovoked,N,M,AUSTRALIA,1972.08.08,Años 70
1972,6,Unprovoked,N,M,MARSHALL ISLANDS,1972.00.00.a,Años 70
1972,6,Unprovoked,Y,M,AUSTRALIA,1972.06.26.a,Años 70
1972,6,Unprovoked,Y,M,AUSTRALIA,1972.06.26.b,Años 70
1972,1,Unprovoked,N,M,MOZAMBIQUE,1972.01.01.a,Años 70
1972,1,Unprovoked,N,F,SOUTH AFRICA,1972.01.01.b,Años 70
1972,1,Unprovoked,Y,M,SOUTH AFRICA,1972.01.01.c,Años 70
1972,2,Unprovoked,N,UNKNOWN,AUSTRALIA,1972.02.12,Años 70
1972,2,Unprovoked,N,M,AUSTRALIA,1972.02.20,Años 70
1972,3,Unprovoked,N,M,USA,1972.03.16,Años 70
1972,6,Unprovoked,N,UNKNOWN,FRANCE,1972.00.00.b,Años 70
1972,4,Unprovoked,Y,M,MOZAMBIQUE,1972.04.01.a,Años 70
1972,4,Unprovoked,N,F,AUSTRALIA,1972.04.01.b,Años 70
1972,4,Unprovoked,Y,M,WESTERN SAMOA,1972.04.16,Años 70
1972,5,Unprovoked,N,M,FRENCH POLYNESIA,1972.05.06,Años 70
1972,5,Unprovoked,N,M,USA,1972.05.28,Años 70
1972,6,Unprovoked,N,M,USA,1972.06.10,Años 70
1972,3,Provoked,N,M,PACIFIC OCEAN,1972.03.21,Años 70
1973,9,Unprovoked,Y,M,HONG KONG,1973.09.10.R,Años 70
1973,9,Unprovoked,N,M,BAHAMAS,1973.09.14,Años 70
1973,9,Sea Disaster,Y,UNKNOWN,SOUTH AFRICA,1973.09.29,Años 70
1973,11,Unprovoked,N,UNKNOWN,AUSTRALIA,1973.11.03,Años 70
1973,11,Unprovoked,N,M,USA,1973.11.24,Años 70
1973,12,Unprovoked,Y,M,PHILIPPINES,1973.12.19.R,Años 70
1973,12,Unprovoked,Y,M,MEXICO,1973.12.00,Años 70
1973,12,Unprovoked,N,M,USA,1973.12.18,Años 70
1973,12,Unprovoked,Y,M,MOZAMBIQUE,1973.12.21.b,Años 70
1973,12,Unprovoked,N,M,MOZAMBIQUE,1973.12.25,Años 70
1973,9,Unprovoked,Y,M,MEXICO,1973.09.09,Años 70
1973,11,Unprovoked,N,UNKNOWN,AUSTRALIA,1973.11.25,Años 70
1973,9,Unprovoked,N,M,EGYPT,1973.09.00,Años 70
1973,8,Unprovoked,N,M,USA,1973.08.16,Años 70
1973,8,Unprovoked,N,M,AUSTRALIA,1973.08.25,Años 70
1973,8,Unprovoked,UNKNOWN,UNKNOWN,AUSTRALIA,1973.08.27,Años 70
1973,6,Unprovoked,N,M,PALAU,1973.00.00.b,Años 70
1973,1,Unprovoked,N,M,USA,1973.01.09,Años 70
1973,1,Provoked,N,M,SOUTH AFRICA,1973.01.21,Años 70
1973,2,Unprovoked,Y,UNKNOWN,MEXICO,1973.02.27,Años 70
1973,6,Unprovoked,N,M,PALAU,1973.00.00.c,Años 70
1973,3,Unprovoked,Y,M,MOZAMBIQUE,1973.03.05,Años 70
1973,3,Unprovoked,N,M,AUSTRALIA,1973.03.26,Años 70
1973,4,Unprovoked,Y,M,MEXICO,1973.04.04,Años 70
1973,6,Unprovoked,N,M,HONG KONG,1973.06.13,Años 70
1973,6,Unprovoked,N,M,SOUTH AFRICA,1973.00.00.a,Años 70
1973,3,Unprovoked,N,M,SOUTH AFRICA,1973.03.00,Años 70
1974,8,Unprovoked,N,M,HONG KONG,1974.08.23,Años 70
1974,7,Unprovoked,Y,M,USA,1974.07.20,Años 70
1974,7,Unprovoked,N,M,USA,1974.07.26,Años 70
1974,8,Unprovoked,Y,M,CROATIA,1974.08.10,Años 70
1974,8,Unprovoked,N,M,HONG KONG,1974.08.16.a,Años 70
1974,8,Unprovoked,N,M,HONG KONG,1974.08.16.b,Años 70
1974,8,Unprovoked,Y,M,HONG KONG,1974.08.16.c,Años 70
1974,9,Unprovoked,N,M,USA,1974.09.00,Años 70
1974,9,Unprovoked,N,M,USA,1974.09.28,Años 70
1974,9,Unprovoked,N,M,USA,1974.09.02.a,Años 70
1974,9,Unprovoked,N,M,USA,1974.09.02.b,Años 70
1974,9,Unprovoked,N,F,ISRAEL,1974.09.07,Años 70
1974,9,Unprovoked,N,M,USA,1974.09.14,Años 70
1974,7,Sea Disaster,Y,M,USA,1974.07.02,Años 70
1974,11,Unprovoked,N,M,USA,1974.11.01,Años 70
1974,12,Unprovoked,N,UNKNOWN,AUSTRALIA,1974.12.10,Años 70
1974,9,Sea Disaster,N,M,AUSTRALIA,1974.09.01,Años 70
1974,6,Unprovoked,N,F,USA,1974.06.20,Años 70
1974,8,Unprovoked,N,M,USA,1974.08.05,Años 70
1974,4,Sea Disaster,Y,M,BRAZIL,1974.04.25.R,Años 70
1974,5,Unprovoked,N,M,USA,1974.05.26,Años 70
1974,6,Unprovoked,Y,UNKNOWN,CROATIA,1974.00.00.a,Años 70
1974,6,Unprovoked,N,M,AUSTRALIA,1974.00.00.b,Años 70
1974,1,Unprovoked,Y,M,MOZAMBIQUE,1974.01.07.a,Años 70
1974,1,Unprovoked,Y,M,MOZAMBIQUE,1974.01.07.b,Años 70
1974,1,Unprovoked,N,M,SOUTH AFRICA,1974.01.07.c,Años 70
1974,1,Unprovoked,N,M,SOUTH AFRICA,1974.01.13,Años 70
1974,2,Boat,N,UNKNOWN,SOUTH AFRICA,1974.02.00.a,Años 70
1974,2,Boat,N,UNKNOWN,SOUTH AFRICA,1974.02.00.b,Años 70
1974,1,Unprovoked,Y,M,AUSTRALIA,1974.01.09,Años 70
1974,2,Unprovoked,N,M,SOUTH AFRICA,1974.02.13.b,Años 70
