,Year,Ocean_Sea
1132,2007,NORTH_PACIFIC
1133,2007,NORTH_PACIFIC
1135,2007,NORTH_ATLANTIC
1137,2007,NORTH_PACIFIC
1138,2007,NORTH_ATLANTIC
1139,2007,NORTH_ATLANTIC
1140,2007,NORTH_ATLANTIC
1143,2007,NORTH_ATLANTIC
1144,2007,NORTH_PACIFIC
1145,2007,NORTH_ATLANTIC
1146,2007,NORTH_PACIFIC
1147,2007,NORTH_ATLANTIC
1148,2007,NORTH_ATLANTIC
1150,2007,NORTH_ATLANTIC
1151,2007,NORTH_ATLANTIC
1155,2007,NORTH_ATLANTIC
1158,2007,NORTH_PACIFIC
1159,2007,NORTH_ATLANTIC
1160,2007,CARIBBEAN_SEA
1161,2007,NORTH_ATLANTIC
1163,2007,NORTH_ATLANTIC
1164,2007,NORTH_ATLANTIC
1165,2007,NORTH_ATLANTIC
1167,2007,NORTH_ATLANTIC
1168,2007,NORTH_ATLANTIC
1169,2007,NORTH_ATLANTIC
1171,2007,NORTH_ATLANTIC
1173,2007,NORTH_ATLANTIC
1175,2007,NORTH_ATLANTIC
1181,2007,NORTH_ATLANTIC
1186,2007,NORTH_ATLANTIC
1187,2007,NORTH_PACIFIC
1190,2006,NORTH_PACIFIC
1194,2006,NORTH_PACIFIC
1196,2006,NORTH_PACIFIC
1197,2006,NORTH_ATLANTIC
1198,2006,NORTH_ATLANTIC
1199,2006,GULF_OF_MEXICO
1200,2006,NORTH_ATLANTIC
1201,2006,NORTH_ATLANTIC
1204,2006,NORTH_ATLANTIC
1205,2006,NORTH_ATLANTIC
1206,2006,NORTH_ATLANTIC
1207,2006,NORTH_ATLANTIC
1208,2006,NORTH_ATLANTIC
1210,2006,SOUTH_ATLANTIC
1211,2006,NORTH_ATLANTIC
1212,2006,NORTH_ATLANTIC
1214,2006,NORTH_PACIFIC
1217,2006,SOUTH_ATLANTIC
1223,2006,NORTH_ATLANTIC
1225,2006,NORTH_ATLANTIC
1226,2006,NORTH_PACIFIC
1227,2006,NORTH_PACIFIC
1228,2006,NORTH_ATLANTIC
1230,2006,NORTH_ATLANTIC
1231,2006,GULF_OF_MEXICO
1233,2006,NORTH_ATLANTIC
1235,2006,NORTH_ATLANTIC
1236,2006,SOUTH_ATLANTIC
1237,2006,NORTH_ATLANTIC
1238,2006,NORTH_ATLANTIC
1239,2006,NORTH_ATLANTIC
1240,2006,NORTH_ATLANTIC
1241,2006,NORTH_ATLANTIC
1242,2006,NORTH_ATLANTIC
1243,2006,NORTH_ATLANTIC
1244,2006,NORTH_ATLANTIC
1245,2006,NORTH_ATLANTIC
1246,2006,NORTH_ATLANTIC
1247,2006,SOUTH_ATLANTIC
1248,2006,NORTH_PACIFIC
1249,2006,NORTH_ATLANTIC
1250,2006,NORTH_ATLANTIC
1252,2006,NORTH_PACIFIC
1253,2006,NORTH_PACIFIC
1254,2006,NORTH_PACIFIC
1255,2006,NORTH_PACIFIC
1256,2006,SOUTH_ATLANTIC
1257,2006,CARIBBEAN_SEA
1258,2006,NORTH_ATLANTIC
1259,2006,NORTH_ATLANTIC
1261,2006,NORTH_ATLANTIC
1262,2006,NORTH_ATLANTIC
1263,2006,NORTH_ATLANTIC
1264,2006,NORTH_ATLANTIC
1267,2006,SOUTH_ATLANTIC
1268,2006,NORTH_ATLANTIC
1270,2006,NORTH_PACIFIC
1274,2006,NORTH_PACIFIC
1275,2006,NORTH_PACIFIC
