Attempting to Kite surf from Egypt to Saudi Arabia,1
Ran into the water,1
Free diving with seals,1
"Bathing near whaling ship (bark A. R. Tucker of New Bedford, Massachusetts)",1
Swimming or boogie boarding,1
"Fishing, hauling in fishing gear",1
Swimming alongside yacht Mexico Fiesta,1
"Hard hat diving, laying some charge of powder",1
"Trochus diving, but floating on surface",1
Washed off freighter Huncliff by a freak wave,1
seaplane Columbus ditched in the sea,1
Wooden fishing boat,1
Spearfishing & holding catch,1
Fishing from dinghy,1
Board sailing,1
Spearfishing & had just speared a ulua,1
Swimming between  anchored  pearling luggers,1
male,1
Towing rubber dinghy,1
Casting a net,1
Surfing / Wading,1
Towing her sister on plastic ski board,1
Surf fishing in waist-deep water,1
Shark fishing on the Ricardo Astorga,1
Swimming along side N.E.L. vessel Saluda,1
Fell overboard ,1
"Canoe swamped, swimming back to canoe",1
Floating on raft,1
Deserting the bark Nazarene,1
"Fishing, holding fish in his left hand",1
Skin diving. Grabbed shark's tail; shark turned & grabbed diver's ankle & began towing him to deep water,1
Testing movie camera in full diving dress,1
"Spearfishing, shot a turtle",1
Photographing the shark,1
Fleeing across a river,1
"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",1
Wreck of the 150-ton brig Maria,1
17 Maldivians adrift in open boat for 31 days,1
Swimming with dog near canning factory,1
Commercial diver (submerged or treading water),1
Attempting to fix motor,1
Free diving for sinkers,1
Parachuted into Pacific,1
Cleaning fish,1
Washing a dog,1
"Plane forced down, 3 men on rubber life raft. Put hand over side to feel drift of boat ",1
Swimming / shipwreck,1
A dhow capsized,1
Playing in surf with his child  (9),1
"Wading, when he stepped on the shark",1
Swimming at edge of channel,1
The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,1
Ferry capsized,1
Attempting to drag hooked shark ashore by its tail,1
Jumped into the water from a cliff,1
"Fell overboard, prop slashed arm",1
Fishing (rod & line),1
Kneeling in the water,1
Skin diving for trepang but at surface next to the boat,1
Fishing in ankle-deep water,1
Filming & feeding captive sharks,1
Fishing (trolling),1
"Spearfishing, but standing in the water",1
"Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",1
Swimming in pool formed by construction of a wharf,1
Boat capsized between O'ahu & Molokai,1
"""Climbing up to ship after repairing the stern in water""",1
"Fishing, probably with a net",1
Fell overboard from the Malacca,1
Standing / surfing,1
13 men in the water after sailboat capsized & sank,1
"Fishing, hauling in net, shark in net",1
Diving for pearl,1
Adrift on a raft ,1
Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,1
"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",1
Dragging stranded shark ashore,1
The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,1
Attempting to net shark in shark channel,1
"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",1
Pulling raft out to ride to shore,1
Diving for sea urchins,1
Swimming naked near a date palm where many dates fell into the water,1
Bathing in 3' to 4' of water,1
Sinking of the ferryboat Dumaguete ,1
Playing / jumping,1
The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,1
Feeding prawns to captive sharks,1
Gaffing & attempting to bring onboard a harpooned shark,1
Cleaning a tank,1
"Wading to dinghy, carrying his son",1
The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,1
Net-fishing,1
Surfing (pneumatic surfboard),1
native boats sunk in storm,1
Collecting fish by lamplight in gully,1
Free diving for abalone (submerged),1
Removing shark from tank in nightclub ,1
The British steamer Caribbee foundered,1
Swimming near his boat,1
Floating with life preserver after his boat foundered,1
"Fishing, had just speared a ulua",1
Holding onto an inflatable boat,1
Stamding,1
Swimming with mask & snorkel,1
"Swimming, towing the shark",1
Swimming / jumping off a jetty,1
"Diving, repairing water main at depth of 90'",1
Drift fishing,1
Cutter capsized,1
A group of survivors on a raft for 17-days,1
Diving for trochus  from dinghy when seized by shark 6' below the surface,1
Lying on surfboard,1
Sight-seeing,1
Wakeboarding,1
Taking catch from a fish weir in which the shark was snared,1
Swimming after being swept into sea by a large wave,1
"Fishing from shore, washed into the sea",1
Fishing in knee-deep water,1
Tandem surfing,1
yachting accident,1
"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",1
Standing alongside surfboard,1
"Wading, netting fish",1
"Fishing, one of three fishermen swept into the sea by a large wave ",1
Washed into sea while picking opihi,1
"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",1
American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,1
Fishing with hand net in 2' of water,1
Swimming or paddle boarding,1
a corsair's boat was overturned,1
Swimming after falling overboard,1
Kayaking (returning from spearfishing),1
Fell overboard from USS Ward,1
"""Crossing the river""",1
"Spearfishing, but swimming on surface",1
Swimming around anchored ship,1
Swimming to shore after boat capsized by a squall,1
Windsurfing (urinating on his board),1
Pulling shark from the water,1
Air/Sea Disaster involving C-54 Air Force Transport No. 2686 with 37 on board,1
"In boat being towed by ship, Karnak",1
Free diving or wading back to shore,1
"After rowing skiff was holed by shark, he was attempting to swim ashore",1
"Dutch merchant ship Zaandam torpedoed  by the U-174 amidships, sank & dozens of survivors took to rafts & boats. One man, Izzi, who drifted 83 days on a raft related that sharks attacked many men in the water when the ship went down",1
Attempting to lasso shark's tail,1
Attempting to chase shark out to sea,1
Shipwrecked; adrift on raft for 2 days & 2 nights,1
Hardhat diving ,1
Bitten while cutting shark from net,1
Swimming with board,1
Swimming near anchored ship,1
"Spearfishing, carrying fish on belt",1
Touching the mouth of a supposedly dead shark,1
Standing / Bathing,1
Playing ,1
preparing to go skin diving,1
Body boarding or surfing,1
