,name,last_raised_amount_MnUSD,total_raised_MnUSD,round_average_MnUSD,rounds
296,TotalTakeout,0.2,0.2,0.2,1.0
297,Vobile,10.0,10.0,10.0,1.0
299,RealSelf,1.2,2.0,1.0,2.0
305,Verimatrix,7.5,46.8,7.8,6.0
307,GameLayers,1.5,2.0,1.0,2.0
309,WEbook,5.0,5.0,2.5,2.0
312,Splunk,25.0,40.0,13.3,3.0
313,divorce360,2.5,2.5,2.5,1.0
316,Kewego,6.2,19.4,6.5,3.0
323,HubSpot,30.0,130.5,18.6,7.0
326,CrossLoop,1.5,10.5,3.5,3.0
330,Uversity,3.2,10.2,2.6,4.0
334,Viadeo,32.0,50.2,12.6,4.0
335,Match,0.0,0.0,0.0,
337,HubPages,6.0,8.0,4.0,2.0
338,GoLark,0.0,0.0,0.0,
341,Bunchball,6.5,12.5,4.2,3.0
342,Xanga,0.0,0.0,0.0,
345,TravelMuse,2.0,5.6,1.9,3.0
350,4Home,4.3,9.1,1.8,5.0
352,Oversee,150.0,150.0,150.0,1.0
353,Frevvo,0.5,0.5,0.5,1.0
355,Roost,8.0,13.5,6.8,2.0
356,WorldTV,1.0,1.0,1.0,1.0
357,WonderHowTo,0.0,0.0,0.0,
358,clipsync,0.2,0.2,0.2,1.0
361,Lookery,2.2,3.1,1.6,2.0
362,Mill River Labs,0.9,0.9,0.9,1.0
364,First30Days,5.0,5.0,2.5,2.0
365,VisualCV,5.0,5.0,5.0,1.0
367,Craigslist,13.5,13.5,13.5,1.0
368,TalentSpring,2.7,2.7,2.7,1.0
371,Vuzit,0.0,0.3,0.1,3.0
373,Mixbook,10.0,11.0,5.5,2.0
374,Yodio,0.8,0.8,0.8,1.0
377,Bungee Labs,8.0,23.5,7.8,3.0
378,Movaya,0.5,0.5,0.5,1.0
379,LyfeSystems,0.0,0.0,0.0,
380,Bragster,3.5,3.5,3.5,1.0
381,Oddcast,4.0,4.0,4.0,1.0
383,amiando,0.0,0.0,0.0,
384,Snap Technologies,10.0,10.0,10.0,1.0
386,Three Rings,3.5,7.0,3.5,2.0
387,Shelfari,1.0,1.0,1.0,1.0
388,LibraryThing,0.0,0.0,0.0,
389,TheLadders,7.2,7.2,7.2,1.0
390,Netflix,30.0,30.0,30.0,1.0
395,Social Gaming Network,2.0,17.1,4.3,4.0
396,Tacit Software,0.0,0.0,0.0,
397,Grooveshark,1.0,1.0,1.0,1.0
399,RiffTrax,5.0,5.0,5.0,1.0
404,Redux,1.0,8.1,1.6,5.0
412,Evernote,21.2,186.7,23.3,8.0
416,Inform Technologies,4.0,29.0,9.7,3.0
418,Intuit,6.7,6.7,6.7,1.0
420,2threads,0.2,0.3,0.2,1.0
426,SugarSync,3.0,54.5,9.1,6.0
431,OLX,0.0,28.5,7.1,4.0
432,Boonty,10.0,10.0,10.0,1.0
437,Phreesia,4.8,42.6,8.5,5.0
