,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
58,UTOPY,1999,software,40,1.0,7.5,7.5,2,37.767575,-122.411157,"{'type': 'Point', 'coordinates': [-122.411157, 37.767575]}",60,5012,1.9666666666666666,33.9,0.03333333333333344
59,GoodGuide,2007,web,10,6.0,28.4,4.7,2,37.7983181,-122.4000032,"{'type': 'Point', 'coordinates': [-122.4000032, 37.7983181]}",51,4217,1.9411764705882353,25.9,0.05882352941176472
60,GameLayers,2007,web,5,2.0,2.0,1.0,2,37.803847,-122.402468,"{'type': 'Point', 'coordinates': [-122.402468, 37.803847]}",50,2917,1.92,25.9,0.08000000000000007
61,GoodGuide,2007,web,10,6.0,28.4,4.7,2,37.7983181,-122.4000032,"{'type': 'Point', 'coordinates': [-122.4000032, 37.7983181]}",51,4217,1.9411764705882353,25.9,0.05882352941176472
62,Pownce,2007,web,6,,0.0,0.0,2,37.762541,-122.397224,"{'type': 'Point', 'coordinates': [-122.397224, 37.762541]}",46,4217,1.9565217391304348,25.4,0.04347826086956519
63,Open Places,2008,web,3,3.0,1.1,0.4,1,37.758352,-122.398379,"{'type': 'Point', 'coordinates': [-122.398379, 37.758352]}",30,3179,1.9333333333333333,25.4,0.06666666666666665
64,Facebook,2004,social,5299,10.0,2325.7,232.6,3,40.7557162,-73.9792469,"{'type': 'Point', 'coordinates': [-73.9792469, 40.7557162]}",37,6446,1.837837837837838,16.4,0.16216216216216206
65,BountyJobs,2006,web,45,5.0,29.8,6.0,2,40.754211,-73.97917,"{'type': 'Point', 'coordinates': [-73.97917, 40.754211]}",36,6440,1.8333333333333333,16.4,0.16666666666666674
66,Major League Gaming,2002,games_video,45,6.0,69.0,11.5,2,40.752672,-73.97593,"{'type': 'Point', 'coordinates': [-73.97593, 40.752672]}",37,6446,1.837837837837838,16.4,0.16216216216216206
67,Saavn,2006,games_video,25,1.0,6.0,6.0,2,40.743877,-73.98618,"{'type': 'Point', 'coordinates': [-73.98618, 40.743877]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
68,StyleCaster,2008,web,60,2.0,5.0,2.5,2,40.7450497,-73.9900984,"{'type': 'Point', 'coordinates': [-73.9900984, 40.7450497]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
69,ChallengePost,2009,web,17,2.0,4.6,2.3,1,40.7408042,-74.00717,"{'type': 'Point', 'coordinates': [-74.00717, 40.7408042]}",44,7110,1.8863636363636365,16.0,0.11363636363636354
70,Wee Web,2008,web,5,1.0,0.3,0.3,1,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
71,Udorse,2009,web,3,1.0,0.5,0.5,1,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
72,SpaBooker,2007,software,42,2.0,14.7,7.4,2,40.738567,-73.987199,"{'type': 'Point', 'coordinates': [-73.987199, 40.738567]}",43,7132,1.8837209302325582,16.0,0.11627906976744184
73,iPharro Media,2007,software,17,1.0,5.2,5.2,2,40.7438356,-73.9890149,"{'type': 'Point', 'coordinates': [-73.9890149, 40.7438356]}",42,6982,1.880952380952381,16.0,0.11904761904761907
74,People Capital,2008,web,10,1.0,2.5,2.5,1,40.756054,-73.986951,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
75,betaworks,2007,social,10,2.0,27.5,13.8,2,40.74034,-74.00721,"{'type': 'Point', 'coordinates': [-74.00721, 40.74034]}",44,7110,1.8863636363636365,16.0,0.11363636363636354
76,Yipit,2010,web,23,3.0,7.5,2.5,1,40.744618,-73.987764,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
77,PEX Card,2007,software,11,4.0,5.7,1.4,2,40.752539,-73.987871,"{'type': 'Point', 'coordinates': [-73.987871, 40.752539]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
78,Pinch Media,2008,software,6,3.0,0.6,0.2,1,40.757929,-73.985506,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
79,Next New Networks,2007,web,121,3.0,26.1,8.7,2,40.743808,-73.983626,"{'type': 'Point', 'coordinates': [-73.983626, 40.743808]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
80,Behance,2006,web,30,1.0,6.5,6.5,2,40.74406,-74.004592,"{'type': 'Point', 'coordinates': [-74.004592, 40.74406]}",44,7280,1.8863636363636365,16.0,0.11363636363636354
81,Oddcast,1999,web,65,1.0,4.0,4.0,2,40.752325,-73.988477,"{'type': 'Point', 'coordinates': [-73.988477, 40.752325]}",37,6630,1.864864864864865,16.0,0.1351351351351351
82,Phreesia,2005,software,70,5.0,42.6,8.5,2,40.739794,-73.985878,"{'type': 'Point', 'coordinates': [-73.985878, 40.739794]}",43,7132,1.8837209302325582,16.0,0.11627906976744184
83,Tripology,2006,web,9,1.0,1.2,1.2,2,40.746883,-73.983969,"{'type': 'Point', 'coordinates': [-73.983969, 40.746883]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
84,Xanga,1999,web,22,,0.0,0.0,2,40.754698,-73.992152,"{'type': 'Point', 'coordinates': [-73.992152, 40.754698]}",36,6515,1.8611111111111112,16.0,0.13888888888888884
85,Zemanta,2007,web,30,5.0,7.4,1.5,2,40.7387945,-73.9939213,"{'type': 'Point', 'coordinates': [-73.9939213, 40.7387945]}",42,7120,1.880952380952381,16.0,0.11904761904761907
86,Cellufun,2005,games_video,30,2.0,3.7,1.8,2,40.73993,-73.9930489,"{'type': 'Point', 'coordinates': [-73.9930489, 40.73993]}",42,7120,1.880952380952381,16.0,0.11904761904761907
87,Odeo,2005,web,60,,0.0,0.0,2,40.753918,-73.981237,"{'type': 'Point', 'coordinates': [-73.981237, 40.753918]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
