,_id,category_code,city,country_code,founded_year,geopoint,latitude,longitude,name,number_of_employees,type,companies200,companies500,companies1000,companies2000,employees200,employees500,employees1000,employees2000
1019,5cd453a1e74b56f50369cadf,web,New York,USA,2008,"{'type': 'Point', 'coordinates': [-74.001724, 40.707268]}",40.707268,-74.001724,Cookstr,10,startup,1,2,3,10,10,13,15,122
1020,5cd453a1e74b56f50369cae0,web,Stockholm,SWE,2005,"{'type': 'Point', 'coordinates': [18.064488, 59.332788]}",59.332788,18.064488,Twin Pines,10,startup,4,4,5,6,27,27,33,42
1021,5cd453a1e74b56f50369cae1,web,Brentwood,USA,2006,"{'type': 'Point', 'coordinates': [-86.805713, 36.033057]}",36.033057,-86.805713,SoberCircle,8,startup,1,1,1,1,8,8,8,8
1022,5cd453a1e74b56f50369cae2,software,Moraga,USA,2008,"{'type': 'Point', 'coordinates': [-122.129671, 37.860866]}",37.860866,-122.129671,Rubysophic,5,startup,1,1,1,1,5,5,5,5
1023,5cd453a1e74b56f50369cae3,web,BorlÃ¤nge,SWE,2005,"{'type': 'Point', 'coordinates': [15.436302, 60.485605]}",60.485605,15.436302,Twin Pines,10,startup,1,1,1,1,10,10,10,10
1024,5cd453a1e74b56f50369cae4,software,Tel Aviv,ISR,2007,"{'type': 'Point', 'coordinates': [34.7836788, 32.0695889]}",32.0695889,34.7836788,RankAbove,35,startup,1,1,1,1,35,35,35,35
1025,5cd453a1e74b56f50369cae5,software,New York,USA,2007,"{'type': 'Point', 'coordinates': [-73.992402, 40.748047]}",40.748047,-73.992402,RankAbove,35,startup,4,7,27,55,54,68,282,640
1026,5cd453a1e74b56f50369cae6,software,San Francisco,USA,2008,"{'type': 'Point', 'coordinates': [-122.423132, 37.792303]}",37.792303,-122.423132,Tivix,18,startup,1,4,4,50,18,50,50,1695
1027,5cd453a1e74b56f50369cae7,software,Quebec,CAN,2008,"{'type': 'Point', 'coordinates': [-71.215223, 46.812754]}",46.812754,-71.215223,PornLikeThat,1,startup,1,1,1,2,1,1,1,6
1028,5cd453a1e74b56f50369cae8,web,New York,USA,2010,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}",40.744618,-73.987764,Yipit,23,startup,5,7,26,59,90,109,335,656
1029,5cd453a1e74b56f50369cae9,games_video,Maynard,USA,2006,"{'type': 'Point', 'coordinates': [-71.455658, 42.431652]}",42.431652,-71.455658,38 Studios,49,startup,1,1,1,1,49,49,49,49
1030,5cd453a1e74b56f50369caea,web,Los Angeles,USA,2008,"{'type': 'Point', 'coordinates': [-118.295117, 34.024817]}",34.024817,-118.295117,booksRhere,1,startup,1,1,1,1,1,1,1,1
1031,5cd453a1e74b56f50369caeb,software,Overland Park,USA,2007,"{'type': 'Point', 'coordinates': [-94.68567, 38.929216]}",38.929216,-94.68567,MindSpring Software,5,startup,1,1,1,1,5,5,5,5
1032,5cd453a1e74b56f50369caec,web,San Francisco,USA,2008,"{'type': 'Point', 'coordinates': [-122.394958, 37.781262]}",37.781262,-122.394958,Virgance,15,startup,6,14,28,62,82,188,380,2015
1033,5cd453a1e74b56f50369caed,web,Plano,USA,2007,"{'type': 'Point', 'coordinates': [-96.770371, 33.056012]}",33.056012,-96.770371,mangofizz jobs,10,startup,1,1,1,1,10,10,10,10
1034,5cd453a1e74b56f50369caee,web,Ashland,USA,2008,"{'type': 'Point', 'coordinates': [-122.6883052, 42.183715]}",42.183715,-122.6883052,NewDocs,3,startup,1,1,1,1,3,3,3,3
1035,5cd453a1e74b56f50369caef,games_video,Colorado Springs,USA,2007,"{'type': 'Point', 'coordinates': [-104.830775, 38.927596]}",38.927596,-104.830775,Compete-At,12,startup,1,1,1,1,12,12,12,12
1036,5cd453a1e74b56f50369caf0,games_video,Bethesda,USA,2007,"{'type': 'Point', 'coordinates': [-77.0989247, 38.9897861]}",38.9897861,-77.0989247,Compete-At,12,startup,1,1,2,2,12,12,22,22
1037,5cd453a1e74b56f50369caf1,games_video,Paris,FRA,2006,"{'type': 'Point', 'coordinates': [2.3179601, 48.8926988]}",48.8926988,2.3179601,Citizenside,12,startup,2,2,2,5,32,32,32,45
1038,5cd453a1e74b56f50369caf2,web,Newark,USA,2006,"{'type': 'Point', 'coordinates': [-74.182118, 40.742416]}",40.742416,-74.182118,BookSwim,10,startup,2,2,2,2,25,25,25,25
1039,5cd453a1e74b56f50369caf3,software,Atlanta,USA,2006,"{'type': 'Point', 'coordinates': [-75.815542, 45.538651]}",45.538651,-75.815542,OrcaTec,20,startup,1,1,1,1,20,20,20,20
1040,5cd453a1e74b56f50369caf4,software,Chennai,IND,2006,"{'type': 'Point', 'coordinates': [80.174135, 13.0600605]}",13.0600605,80.174135,Gtm infotech,10,startup,1,1,1,1,10,10,10,10
1041,5cd453a1e74b56f50369caf5,web,San Francisco,USA,2006,"{'type': 'Point', 'coordinates': [-122.394635, 37.782886]}",37.782886,-122.394635,WordNetworks,4,startup,6,12,33,61,47,163,439,715
1042,5cd453a1e74b56f50369caf6,software,San Francisco,USA,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,148Apps,1,startup,14,17,22,41,91,1402,1489,1660
1043,5cd453a1e74b56f50369caf7,software,Bangalore,IND,2008,"{'type': 'Point', 'coordinates': [77.5922642, 12.9561278]}",12.9561278,77.5922642,Aghreni Technologies,15,startup,2,2,2,5,50,50,50,115
1044,5cd453a1e74b56f50369caf8,web,Soquel,USA,2008,"{'type': 'Point', 'coordinates': [-121.958687, 37.0391044]}",37.0391044,-121.958687,ForGrabs,5,startup,1,1,1,1,5,5,5,5
1045,5cd453a1e74b56f50369caf9,games_video,Chicago,USA,2007,"{'type': 'Point', 'coordinates': [-87.66299, 41.907542]}",41.907542,-87.66299,Plugola,2,startup,1,1,1,3,2,2,2,13
1046,5cd453a1e74b56f50369cafa,software,San Francisco,USA,2007,"{'type': 'Point', 'coordinates': [-87.5962319, 41.7894201]}",41.7894201,-87.5962319,CaptainU,20,startup,1,1,1,1,20,20,20,20
1047,5cd453a1e74b56f50369cafb,software,New York,USA,2008,"{'type': 'Point', 'coordinates': [-73.988071, 40.744549]}",40.744549,-73.988071,Aghreni Technologies,15,startup,5,8,26,59,90,113,335,656
1048,5cd453a1e74b56f50369cafc,web,Darlinghurst,AUS,2008,"{'type': 'Point', 'coordinates': [151.1936039, -33.8719926]}",-33.8719926,151.1936039,Allure Media,15,startup,1,1,2,9,15,15,25,147
1049,5cd453a1e74b56f50369cafd,web,Vancouver,CAN,2008,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}",49.263588,-123.138565,DreamBank,10,startup,5,5,5,6,18,18,18,21
1050,5cd453a1e74b56f50369cafe,games_video,Atlanta,USA,2008,"{'type': 'Point', 'coordinates': [-84.368975, 33.961646]}",33.961646,-84.368975,ZOOZ Mobile,5,startup,1,1,1,1,5,5,5,5
1051,5cd453a1e74b56f50369caff,games_video,San Francisco,USA,2007,"{'type': 'Point', 'coordinates': [-122.421406, 37.781386]}",37.781386,-122.421406,TubeSpree,11,startup,1,2,17,48,11,12,1403,1769
1052,5cd453a1e74b56f50369cb00,web,Vancouver,USA,2006,"{'type': 'Point', 'coordinates': [-122.4721542, 45.6667514]}",45.6667514,-122.4721542,AutoInq,3,startup,1,1,1,1,3,3,3,3
1053,5cd453a1e74b56f50369cb01,web,Franconville,FRA,2005,"{'type': 'Point', 'coordinates': [2.2335404, 48.995807]}",48.995807,2.2335404,Zone-ViP Network,5,startup,1,1,1,1,5,5,5,5
1054,5cd453a1e74b56f50369cb02,web,Spring Hill,USA,2008,"{'type': 'Point', 'coordinates': [-82.490137, 28.4370407]}",28.4370407,-82.490137,Dorman Media,1,startup,1,1,1,1,1,1,1,1
1055,5cd453a1e74b56f50369cb03,games_video,San Clemente,USA,2007,"{'type': 'Point', 'coordinates': [-117.6513647, 33.4590557]}",33.4590557,-117.6513647,pickrset,1,startup,1,1,1,1,1,1,1,1
1056,5cd453a1e74b56f50369cb04,software,Bremen,DEU,2005,"{'type': 'Point', 'coordinates': [8.8088823, 53.0785928]}",53.0785928,8.8088823,Enough Software,20,startup,1,1,1,1,20,20,20,20
1057,5cd453a1e74b56f50369cb05,web,Lexington,USA,2007,"{'type': 'Point', 'coordinates': [-71.237976, 42.430844]}",42.430844,-71.237976,LuckyCal,4,startup,1,1,2,2,4,4,54,54
1058,5cd453a1e74b56f50369cb06,web,Sacramento,USA,2008,"{'type': 'Point', 'coordinates': [-121.481826, 38.517538]}",38.517538,-121.481826,Balsamiq,9,startup,1,1,1,1,9,9,9,9
1059,5cd453a1e74b56f50369cb07,web,Brussels,BEL,2008,"{'type': 'Point', 'coordinates': [4.401195, 50.7963208]}",50.7963208,4.401195,Commentag,3,startup,1,1,1,1,3,3,3,3
1060,5cd453a1e74b56f50369cb08,software,Lehi,USA,2007,"{'type': 'Point', 'coordinates': [-111.8967224, 40.4273613]}",40.4273613,-111.8967224,Kynetx,13,startup,2,2,2,2,18,18,18,18
1061,5cd453a1e74b56f50369cb09,software,Grand Rapids,USA,2008,"{'type': 'Point', 'coordinates': [-85.6734906, 42.9608776]}",42.9608776,-85.6734906,Ascribe,9,startup,1,1,1,1,9,9,9,9
1062,5cd453a1e74b56f50369cb0a,software,McLean,USA,2005,"{'type': 'Point', 'coordinates': [-77.367981, 38.872668]}",38.872668,-77.367981,Rollstream,25,startup,1,1,1,1,25,25,25,25
1063,5cd453a1e74b56f50369cb0b,web,Barcelona,ESP,2005,"{'type': 'Point', 'coordinates': [2.1897317, 41.3762002]}",41.3762002,2.1897317,Tractis,4,startup,1,1,1,1,4,4,4,4
1064,5cd453a1e74b56f50369cb0c,software,Miami,USA,2008,"{'type': 'Point', 'coordinates': [-80.331681, 25.769174]}",25.769174,-80.331681,Aligned Global,15,startup,1,1,1,1,15,15,15,15
1065,5cd453a1e74b56f50369cb0d,web,Boulder,USA,2005,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",40.010492,-105.276843,DealStop,1,startup,3,3,8,8,19,19,42,42
1066,5cd453a1e74b56f50369cb0e,web,Boulder,USA,2005,"{'type': 'Point', 'coordinates': [-105.2702, 40.0153]}",40.0153,-105.2702,DealStop,1,startup,1,2,8,10,1,2,42,107
1067,5cd453a1e74b56f50369cb0f,web,Manchester,GBR,2013,"{'type': 'Point', 'coordinates': [-2.2439492, 53.4837067]}",53.4837067,-2.2439492,Clowdy,11,startup,1,1,1,1,11,11,11,11
1068,5cd453a1e74b56f50369cb10,software,Guildford,GBR,2005,"{'type': 'Point', 'coordinates': [-0.6126472, 51.2402584]}",51.2402584,-0.6126472,Socialwrks,12,startup,1,1,1,1,12,12,12,12
1069,5cd453a1e74b56f50369cb11,software,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1364995, 51.4598249]}",51.4598249,-0.1364995,SLevolution,4,startup,1,1,1,1,4,4,4,4
